rating_id,member_id,film_id,rated_at,engagement,promote
R00695300,1941,2456,2000-11-22 00:01:51,0.037037,0
R00695301,1941,2902,2000-11-22 00:01:51,0.048881,0
R00695302,1941,3021,2000-11-22 00:01:52,0.086664,0
R00695303,1185,2188,2000-11-22 00:01:53,0.253699,0
R00695304,1185,2475,2000-11-22 00:01:53,0.456316,0
R00695305,1185,3534,2000-11-22 00:01:53,0.303183,0
R00695306,1676,1615,2000-11-22 00:01:53,0.529821,0
R00695307,1333,991,2000-11-22 00:01:59,0.681037,1
R00695308,1937,1962,2000-11-22 00:01:59,0.49076,0
R00695309,1937,3098,2000-11-22 00:01:59,0.454246,0
R00695310,1191,164,2000-11-22 00:02:11,0.657816,1
R00695311,1191,1179,2000-11-22 00:02:11,0.760142,1
R00695312,1191,1344,2000-11-22 00:02:11,0.850966,1
R00695313,1191,1748,2000-11-22 00:02:11,0.806195,1
R00695314,1191,2182,2000-11-22 00:02:11,0.642906,1
R00695315,1191,2727,2000-11-22 00:02:11,0.758286,1
R00695316,1191,2987,2000-11-22 00:02:11,0.712947,1
R00695317,1191,3364,2000-11-22 00:02:11,0.793005,1
R00695318,1333,157,2000-11-22 00:02:19,0.377942,0
R00695319,1333,466,2000-11-22 00:02:19,0.29359,0
R00695320,1333,516,2000-11-22 00:02:19,0.387557,0
R00695321,1333,688,2000-11-22 00:02:19,0.16544,0
R00695322,1333,1586,2000-11-22 00:02:19,0.388513,0
R00695323,1220,356,2000-11-22 00:02:20,0.740077,1
R00695324,1193,165,2000-11-22 00:02:21,0.246964,0
R00695325,1193,522,2000-11-22 00:02:21,0.245975,0
R00695326,1193,555,2000-11-22 00:02:21,0.363755,0
R00695327,1193,3020,2000-11-22 00:02:21,0.210554,0
R00695328,1937,1376,2000-11-22 00:02:22,0.381289,0
R00695329,1937,2114,2000-11-22 00:02:22,0.404288,0
R00695330,1937,3763,2000-11-22 00:02:22,0.327422,0
R00695331,2015,1363,2000-11-22 00:02:24,0.152975,0
R00695332,1195,1986,2000-11-22 00:02:31,0.211605,0
R00695333,1195,2122,2000-11-22 00:02:31,0.291214,0
R00695334,1195,3840,2000-11-22 00:02:31,0.288462,0
R00695335,1185,408,2000-11-22 00:02:37,0.511105,0
R00695336,1185,2262,2000-11-22 00:02:37,0.33074,0
R00695337,1185,2505,2000-11-22 00:02:37,0.314398,0
R00695338,1333,473,2000-11-22 00:02:39,0.165833,0
R00695339,1333,1445,2000-11-22 00:02:39,0.177882,0
R00695340,1333,1920,2000-11-22 00:02:39,0.263267,0
R00695341,1676,44,2000-11-22 00:02:42,0.202097,0
R00695342,1676,552,2000-11-22 00:02:42,0.339011,0
R00695343,1676,2265,2000-11-22 00:02:42,0.126564,0
R00695344,2015,957,2000-11-22 00:02:42,0.332238,0
R00695345,2015,1801,2000-11-22 00:02:42,0.218965,0
R00695346,1193,1552,2000-11-22 00:02:46,0.169272,0
R00695347,1193,1754,2000-11-22 00:02:46,0.201726,0
R00695348,1193,2023,2000-11-22 00:02:46,0.18259,0
R00695349,1191,936,2000-11-22 00:02:51,0.855824,1
R00695350,1191,1230,2000-11-22 00:02:51,0.87809,1
R00695351,1191,1946,2000-11-22 00:02:51,0.811737,1
R00695352,1191,2935,2000-11-22 00:02:51,0.856099,1
R00695353,1191,3097,2000-11-22 00:02:51,0.849595,1
R00695354,1186,1261,2000-11-22 00:02:59,0.785596,1
R00695355,1193,648,2000-11-22 00:03:07,0.233239,0
R00695356,1941,891,2000-11-22 00:03:07,0.053916,0
R00695357,1941,1623,2000-11-22 00:03:07,0.035319,0
R00695358,1941,1986,2000-11-22 00:03:07,0.040829,0
R00695359,1941,2122,2000-11-22 00:03:07,0.059224,0
R00695360,1191,1874,2000-11-22 00:03:09,0.566068,0
R00695361,1676,1806,2000-11-22 00:03:13,0.299206,0
R00695362,1676,2879,2000-11-22 00:03:13,0.462756,0
R00695363,1333,1967,2000-11-22 00:03:14,0.448716,0
R00695364,1333,2005,2000-11-22 00:03:14,0.397821,0
R00695365,1333,2100,2000-11-22 00:03:14,0.452124,0
R00695366,1333,2174,2000-11-22 00:03:14,0.563472,0
R00695367,1333,2797,2000-11-22 00:03:14,0.699355,1
R00695368,1333,3153,2000-11-22 00:03:14,0.504831,0
R00695369,1195,1984,2000-11-22 00:03:21,0.225777,0
R00695370,1220,780,2000-11-22 00:03:25,0.386441,0
R00695371,1220,3066,2000-11-22 00:03:25,0.520391,0
R00695372,1186,968,2000-11-22 00:03:26,0.780144,1
R00695373,1186,1255,2000-11-22 00:03:26,0.678135,1
R00695374,1186,2288,2000-11-22 00:03:26,0.78038,1
R00695375,1186,3018,2000-11-22 00:03:26,0.712627,1
R00695376,1185,19,2000-11-22 00:03:31,0.178325,0
R00695377,1185,344,2000-11-22 00:03:31,0.334448,0
R00695378,1185,409,2000-11-22 00:03:31,0.341685,0
R00695379,1185,1127,2000-11-22 00:03:31,0.595862,0
R00695380,1185,1459,2000-11-22 00:03:31,0.454565,0
R00695381,1185,2015,2000-11-22 00:03:31,0.472474,0
R00695382,1185,2817,2000-11-22 00:03:31,0.103163,0
R00695383,1185,3710,2000-11-22 00:03:31,0.142954,0
R00695384,1333,317,2000-11-22 00:03:31,0.299432,0
R00695385,1333,2193,2000-11-22 00:03:32,0.476911,0
R00695386,1333,3479,2000-11-22 00:03:32,0.503921,0
R00695387,1193,288,2000-11-22 00:03:36,0.176228,0
R00695388,1193,442,2000-11-22 00:03:36,0.117291,0
R00695389,1193,1876,2000-11-22 00:03:36,0.1541,0
R00695390,1193,1917,2000-11-22 00:03:36,0.188887,0
R00695391,2015,382,2000-11-22 00:03:38,0.162716,0
R00695392,1941,611,2000-11-22 00:03:46,0.07612,0
R00695393,1941,1972,2000-11-22 00:03:46,0.032408,0
R00695394,1941,1977,2000-11-22 00:03:46,0.042022,0
R00695395,1941,2026,2000-11-22 00:03:46,0.0618,0
R00695396,1941,2107,2000-11-22 00:03:46,0.073654,0
R00695397,1941,2656,2000-11-22 00:03:46,0.086316,0
R00695398,1941,2868,2000-11-22 00:03:46,0.045544,0
R00695399,1941,3661,2000-11-22 00:03:46,0.047593,0
R00695400,1333,653,2000-11-22 00:03:52,0.35139,0
R00695401,1333,2043,2000-11-22 00:03:52,0.32929,0
R00695402,1333,2143,2000-11-22 00:03:52,0.319757,0
R00695403,1333,3438,2000-11-22 00:03:52,0.178333,0
R00695404,1191,898,2000-11-22 00:03:53,0.916774,1
R00695405,1191,945,2000-11-22 00:03:53,0.891562,1
R00695406,1191,969,2000-11-22 00:03:53,0.916144,1
R00695407,1191,1094,2000-11-22 00:03:53,0.767701,1
R00695408,1191,1188,2000-11-22 00:03:53,0.849953,1
R00695409,1191,1247,2000-11-22 00:03:53,0.901485,1
R00695410,1191,1944,2000-11-22 00:03:53,0.855776,1
R00695411,1191,2208,2000-11-22 00:03:53,0.877504,1
R00695412,1191,2919,2000-11-22 00:03:53,0.828237,1
R00695413,1220,2402,2000-11-22 00:03:53,0.189751,0
R00695414,2015,75,2000-11-22 00:03:55,0.179722,0
R00695415,1193,95,2000-11-22 00:04:01,0.099022,0
R00695416,1193,434,2000-11-22 00:04:01,0.128241,0
R00695417,1193,736,2000-11-22 00:04:01,0.145849,0
R00695418,1193,2334,2000-11-22 00:04:01,0.135347,0
R00695419,1812,2032,2000-11-22 00:04:02,0.535175,0
R00695420,1676,168,2000-11-22 00:04:05,0.266776,0
R00695421,1676,208,2000-11-22 00:04:05,0.17207,0
R00695422,1676,434,2000-11-22 00:04:05,0.28982,0
R00695423,1220,1445,2000-11-22 00:04:09,0.153194,0
R00695424,2015,2541,2000-11-22 00:04:14,0.185948,0
R00695425,2015,3478,2000-11-22 00:04:14,0.195786,0
R00695426,1185,1541,2000-11-22 00:04:16,0.266411,0
R00695427,1185,2124,2000-11-22 00:04:16,0.274008,0
R00695428,1333,1702,2000-11-22 00:04:18,0.1112,0
R00695429,1333,2253,2000-11-22 00:04:18,0.180516,0
R00695430,1333,3439,2000-11-22 00:04:18,0.099354,0
R00695431,1333,3489,2000-11-22 00:04:18,0.211679,0
R00695432,1941,1326,2000-11-22 00:04:23,0.03469,0
R00695433,1941,2462,2000-11-22 00:04:23,0.031793,0
R00695434,1941,2614,2000-11-22 00:04:23,0.044736,0
R00695435,1193,227,2000-11-22 00:04:30,0.071,0
R00695436,1186,1350,2000-11-22 00:04:33,0.812955,1
R00695437,1186,1407,2000-11-22 00:04:33,0.783534,1
R00695438,1186,2160,2000-11-22 00:04:33,0.857329,1
R00695439,1333,673,2000-11-22 00:04:34,0.118358,0
R00695440,1333,810,2000-11-22 00:04:34,0.041272,0
R00695441,1220,473,2000-11-22 00:04:35,0.131088,0
R00695442,1220,688,2000-11-22 00:04:35,0.083024,0
R00695443,1191,17,2000-11-22 00:04:36,0.87219,1
R00695444,1191,247,2000-11-22 00:04:36,0.822371,1
R00695445,1191,446,2000-11-22 00:04:36,0.870766,1
R00695446,1191,920,2000-11-22 00:04:36,0.881437,1
R00695447,1191,928,2000-11-22 00:04:36,0.874616,1
R00695448,1191,1296,2000-11-22 00:04:36,0.864566,1
R00695449,1191,2396,2000-11-22 00:04:36,0.920807,1
R00695450,1191,2708,2000-11-22 00:04:36,0.793973,1
R00695451,2015,1586,2000-11-22 00:04:42,0.210636,0
R00695452,1186,2901,2000-11-22 00:04:49,0.692393,1
R00695453,1676,809,2000-11-22 00:04:49,0.181899,0
R00695454,1676,2421,2000-11-22 00:04:49,0.149427,0
R00695455,1193,507,2000-11-22 00:04:52,0.190604,0
R00695456,1193,1379,2000-11-22 00:04:52,0.084549,0
R00695457,1193,1866,2000-11-22 00:04:52,0.120742,0
R00695458,1391,25,2000-11-22 00:04:54,0.488166,0
R00695459,1391,265,2000-11-22 00:04:54,0.590397,0
R00695460,1391,866,2000-11-22 00:04:54,0.529855,0
R00695461,1391,1277,2000-11-22 00:04:54,0.509285,0
R00695462,1391,1393,2000-11-22 00:04:54,0.526744,0
R00695463,1941,606,2000-11-22 00:04:56,0.037903,0
R00695464,1941,1335,2000-11-22 00:04:56,0.044727,0
R00695465,1941,1993,2000-11-22 00:04:56,0.031656,0
R00695466,1941,2515,2000-11-22 00:04:56,0.026987,0
R00695467,1941,2548,2000-11-22 00:04:56,0.037038,0
R00695468,1941,3664,2000-11-22 00:04:56,0.026339,0
R00695469,1941,3692,2000-11-22 00:04:56,0.073306,0
R00695470,1186,1130,2000-11-22 00:05:07,0.700795,1
R00695471,1185,969,2000-11-22 00:05:10,0.75145,1
R00695472,1185,2846,2000-11-22 00:05:10,0.350704,0
R00695473,1191,914,2000-11-22 00:05:10,0.881042,1
R00695474,1191,916,2000-11-22 00:05:10,0.922296,1
R00695475,1191,1066,2000-11-22 00:05:10,0.918138,1
R00695476,1191,1264,2000-11-22 00:05:10,0.876055,1
R00695477,1191,2020,2000-11-22 00:05:10,0.890769,1
R00695478,1191,2067,2000-11-22 00:05:10,0.897154,1
R00695479,1191,2130,2000-11-22 00:05:10,0.844982,1
R00695480,1191,2243,2000-11-22 00:05:10,0.827195,1
R00695481,1191,2692,2000-11-22 00:05:10,0.918242,1
R00695482,2015,961,2000-11-22 00:05:11,0.389847,0
R00695483,1193,70,2000-11-22 00:05:17,0.124312,0
R00695484,1193,1100,2000-11-22 00:05:17,0.07482,0
R00695485,1193,1377,2000-11-22 00:05:17,0.073707,0
R00695486,1193,1479,2000-11-22 00:05:17,0.129575,0
R00695487,1812,2114,2000-11-22 00:05:23,0.853269,1
R00695488,1941,2448,2000-11-22 00:05:23,0.036215,0
R00695489,1941,2514,2000-11-22 00:05:23,0.038278,0
R00695490,1941,3663,2000-11-22 00:05:23,0.032282,0
R00695491,1941,3665,2000-11-22 00:05:23,0.033121,0
R00695492,1220,333,2000-11-22 00:05:40,0.463928,0
R00695493,1220,1234,2000-11-22 00:05:40,0.78541,1
R00695494,1193,168,2000-11-22 00:05:41,0.088582,0
R00695495,1193,1320,2000-11-22 00:05:41,0.092825,0
R00695496,1191,425,2000-11-22 00:05:42,0.81322,1
R00695497,1191,902,2000-11-22 00:05:42,0.890442,1
R00695498,1191,1947,2000-11-22 00:05:42,0.884151,1
R00695499,1191,2248,2000-11-22 00:05:42,0.899909,1
R00695500,1191,3475,2000-11-22 00:05:42,0.894858,1
R00695501,1676,990,2000-11-22 00:05:50,0.186572,0
R00695502,1676,3166,2000-11-22 00:05:50,0.110404,0
R00695503,1676,3877,2000-11-22 00:05:50,0.106197,0
R00695504,1941,1862,2000-11-22 00:05:52,0.025397,0
R00695505,1941,2119,2000-11-22 00:05:52,0.035886,0
R00695506,1941,2878,2000-11-22 00:05:52,0.038573,0
R00695507,1941,2903,2000-11-22 00:05:52,0.027139,0
R00695508,2015,209,2000-11-22 00:05:56,0.10125,0
R00695509,2015,277,2000-11-22 00:05:56,0.164908,0
R00695510,1193,42,2000-11-22 00:06:03,0.072965,0
R00695511,1193,786,2000-11-22 00:06:03,0.105002,0
R00695512,1193,1049,2000-11-22 00:06:03,0.145713,0
R00695513,1193,1687,2000-11-22 00:06:03,0.093688,0
R00695514,1193,3705,2000-11-22 00:06:03,0.04492,0
R00695515,1220,1276,2000-11-22 00:06:12,0.778933,1
R00695516,1185,3206,2000-11-22 00:06:13,0.353315,0
R00695517,1185,3841,2000-11-22 00:06:13,0.185377,0
R00695518,1941,1105,2000-11-22 00:06:24,0.030096,0
R00695519,1941,1389,2000-11-22 00:06:24,0.027109,0
R00695520,1941,1979,2000-11-22 00:06:24,0.031465,0
R00695521,1941,1980,2000-11-22 00:06:24,0.035065,0
R00695522,1941,1981,2000-11-22 00:06:24,0.023139,0
R00695523,1941,1998,2000-11-22 00:06:24,0.023879,0
R00695524,1941,2460,2000-11-22 00:06:24,0.039745,0
R00695525,1941,3573,2000-11-22 00:06:24,0.019345,0
R00695526,1220,1265,2000-11-22 00:06:32,0.732117,1
R00695527,1333,1219,2000-11-22 00:06:44,0.742623,1
R00695528,1193,153,2000-11-22 00:06:52,0.040095,0
R00695529,1193,466,2000-11-22 00:06:52,0.054911,0
R00695530,1193,1037,2000-11-22 00:06:52,0.04521,0
R00695531,1676,761,2000-11-22 00:06:56,0.211736,0
R00695532,1676,1606,2000-11-22 00:06:56,0.139398,0
R00695533,1676,2422,2000-11-22 00:06:56,0.108543,0
R00695534,1941,1323,2000-11-22 00:06:57,0.014838,0
R00695535,1941,1328,2000-11-22 00:06:57,0.022553,0
R00695536,1941,1978,2000-11-22 00:06:57,0.031488,0
R00695537,1941,2338,2000-11-22 00:06:57,0.027266,0
R00695538,1941,2368,2000-11-22 00:06:57,0.023906,0
R00695539,1941,3931,2000-11-22 00:06:57,0.045367,0
R00695540,1333,1254,2000-11-22 00:06:58,0.69996,1
R00695541,1391,356,2000-11-22 00:07:04,0.625262,1
R00695542,1391,1094,2000-11-22 00:07:04,0.510379,0
R00695543,1391,1357,2000-11-22 00:07:04,0.547999,0
R00695544,1185,414,2000-11-22 00:07:08,0.152072,0
R00695545,1185,1608,2000-11-22 00:07:08,0.484718,0
R00695546,1185,2791,2000-11-22 00:07:08,0.62608,1
R00695547,1185,2792,2000-11-22 00:07:08,0.199127,0
R00695548,1333,2745,2000-11-22 00:07:10,0.728312,1
R00695549,1193,1667,2000-11-22 00:07:12,0.056246,0
R00695550,1193,3438,2000-11-22 00:07:12,0.038979,0
R00695551,1333,2300,2000-11-22 00:07:22,0.770371,1
R00695552,1220,1197,2000-11-22 00:07:25,0.764252,1
R00695553,1193,15,2000-11-22 00:07:31,0.045153,0
R00695554,1193,2986,2000-11-22 00:07:31,0.026748,0
R00695555,1941,1984,2000-11-22 00:07:33,0.028824,0
R00695556,1941,1996,2000-11-22 00:07:33,0.02163,0
R00695557,1941,2516,2000-11-22 00:07:33,0.027375,0
R00695558,1941,3574,2000-11-22 00:07:33,0.014312,0
R00695559,1812,733,2000-11-22 00:07:34,0.839177,1
R00695560,1220,440,2000-11-22 00:07:40,0.66278,1
R00695561,1333,1394,2000-11-22 00:07:41,0.747548,1
R00695562,1333,2804,2000-11-22 00:07:41,0.810899,1
R00695563,1333,2973,2000-11-22 00:07:41,0.710496,1
R00695564,1193,327,2000-11-22 00:07:48,0.048149,0
R00695565,1193,420,2000-11-22 00:07:48,0.034449,0
R00695566,1186,50,2000-11-22 00:07:50,0.936262,1
R00695567,1186,904,2000-11-22 00:07:50,0.930976,1
R00695568,1220,1270,2000-11-22 00:07:55,0.783505,1
R00695569,1333,921,2000-11-22 00:07:57,0.717171,1
R00695570,1185,588,2000-11-22 00:07:59,0.650767,1
R00695571,1185,808,2000-11-22 00:07:59,0.481368,0
R00695572,1185,1032,2000-11-22 00:07:59,0.606152,0
R00695573,1185,1064,2000-11-22 00:07:59,0.303293,0
R00695574,1185,1214,2000-11-22 00:07:59,0.7875,1
R00695575,1185,1352,2000-11-22 00:07:59,0.253979,0
R00695576,1812,1125,2000-11-22 00:08:09,0.870316,1
R00695577,1186,608,2000-11-22 00:08:11,0.930122,1
R00695578,1186,1358,2000-11-22 00:08:11,0.888795,1
R00695579,1333,2648,2000-11-22 00:08:13,0.654489,1
R00695580,2015,3684,2000-11-22 00:08:14,0.219241,0
R00695581,1193,1004,2000-11-22 00:08:15,0.052987,0
R00695582,1193,1591,2000-11-22 00:08:15,0.037653,0
R00695583,1193,1831,2000-11-22 00:08:15,0.035232,0
R00695584,1193,3841,2000-11-22 00:08:15,0.041966,0
R00695585,1941,50,2000-11-22 00:08:22,0.681124,1
R00695586,1941,908,2000-11-22 00:08:22,0.704429,1
R00695587,1941,1260,2000-11-22 00:08:22,0.574414,0
R00695588,1941,1267,2000-11-22 00:08:22,0.63727,1
R00695589,1941,2203,2000-11-22 00:08:22,0.604896,0
R00695590,1279,3060,2000-11-22 00:08:31,0.52606,0
R00695591,1391,58,2000-11-22 00:08:32,0.70619,1
R00695592,1391,301,2000-11-22 00:08:32,0.469765,0
R00695593,1812,3034,2000-11-22 00:08:36,0.776568,1
R00695594,2015,271,2000-11-22 00:08:41,0.195778,0
R00695595,1676,1503,2000-11-22 00:08:48,0.108755,0
R00695596,1676,2188,2000-11-22 00:08:49,0.203871,0
R00695597,1193,160,2000-11-22 00:08:51,0.020481,0
R00695598,1193,2412,2000-11-22 00:08:51,0.023334,0
R00695599,1941,608,2000-11-22 00:08:54,0.673064,1
R00695600,1941,904,2000-11-22 00:08:54,0.743217,1
R00695601,1941,1249,2000-11-22 00:08:54,0.564381,0
R00695602,1941,1252,2000-11-22 00:08:54,0.719797,1
R00695603,1941,1617,2000-11-22 00:08:54,0.64218,1
R00695604,1941,2186,2000-11-22 00:08:54,0.712919,1
R00695605,2015,1487,2000-11-22 00:08:56,0.172472,0
R00695606,1812,587,2000-11-22 00:09:05,0.803832,1
R00695607,1185,2123,2000-11-22 00:09:22,0.269082,0
R00695608,1185,3250,2000-11-22 00:09:23,0.438482,0
R00695609,1941,903,2000-11-22 00:09:36,0.732958,1
R00695610,1941,924,2000-11-22 00:09:36,0.687672,1
R00695611,1941,928,2000-11-22 00:09:36,0.686199,1
R00695612,1941,930,2000-11-22 00:09:36,0.731937,1
R00695613,1941,1953,2000-11-22 00:09:36,0.530289,0
R00695614,1941,3334,2000-11-22 00:09:36,0.626905,1
R00695615,1941,3551,2000-11-22 00:09:36,0.579742,0
R00695616,1812,2115,2000-11-22 00:10:08,0.836049,1
R00695617,1941,111,2000-11-22 00:10:09,0.755175,1
R00695618,1941,593,2000-11-22 00:10:09,0.838629,1
R00695619,1941,965,2000-11-22 00:10:09,0.686245,1
R00695620,1941,1036,2000-11-22 00:10:09,0.620566,1
R00695621,1941,1269,2000-11-22 00:10:09,0.675236,1
R00695622,1941,2204,2000-11-22 00:10:09,0.602243,0
R00695623,1941,2917,2000-11-22 00:10:09,0.638216,1
R00695624,1941,3726,2000-11-22 00:10:09,0.299996,0
R00695625,1333,1103,2000-11-22 00:10:14,0.781141,1
R00695626,1333,2653,2000-11-22 00:10:14,0.313703,0
R00695627,1333,3340,2000-11-22 00:10:14,0.324248,0
R00695628,2015,2447,2000-11-22 00:10:20,0.238648,0
R00695629,1333,1147,2000-11-22 00:10:28,0.806119,1
R00695630,1941,377,2000-11-22 00:10:40,0.38436,0
R00695631,1941,933,2000-11-22 00:10:40,0.671798,1
R00695632,1941,1086,2000-11-22 00:10:40,0.733669,1
R00695633,1941,1240,2000-11-22 00:10:40,0.690502,1
R00695634,1941,2571,2000-11-22 00:10:40,0.754653,1
R00695635,1941,3147,2000-11-22 00:10:40,0.7493,1
R00695636,2015,1027,2000-11-22 00:10:40,0.187795,0
R00695637,1279,1966,2000-11-22 00:10:41,0.421791,0
R00695638,1333,1104,2000-11-22 00:10:50,0.872768,1
R00695639,1333,1303,2000-11-22 00:10:50,0.696414,1
R00695640,1333,1730,2000-11-22 00:10:50,0.735533,1
R00695641,1391,266,2000-11-22 00:11:00,0.463931,0
R00695642,1391,294,2000-11-22 00:11:00,0.291431,0
R00695643,1391,377,2000-11-22 00:11:00,0.494786,0
R00695644,1391,446,2000-11-22 00:11:00,0.700576,1
R00695645,1391,2006,2000-11-22 00:11:00,0.479624,0
R00695646,1391,3358,2000-11-22 00:11:00,0.460951,0
R00695647,1333,2863,2000-11-22 00:11:05,0.748418,1
R00695648,1676,2142,2000-11-22 00:11:05,0.312801,0
R00695649,1941,457,2000-11-22 00:11:07,0.70964,1
R00695650,1941,1200,2000-11-22 00:11:07,0.678356,1
R00695651,1941,1674,2000-11-22 00:11:07,0.713115,1
