rating_id,f_hour,f_dow,f_month,f_is_weekend,f_days_into_period,f_gender,f_age_band,f_occupation,f_region,f_release_year,f_film_age_years,f_genre_count,f_is_multi_genre,f_mbr_prior_ratings,f_mbr_prior_likes,f_mbr_like_rate,f_mbr_mean_stars,f_mbr_tenure_days,f_mbr_ratings_per_day,f_mbr_is_new,f_film_prior_ratings,f_film_prior_likes,f_film_like_rate,f_film_mean_stars,f_film_days_on_shelf,f_film_is_new,f_genre_prior_ratings,f_genre_like_rate,f_mbr_stars_spread,f_film_stars_spread,f_mbr_recent_rate,f_mbr_days_since_prev,f_occupation_rate,f_age_band_rate,f_region_rate,f_mbr_vs_portfolio,f_film_vs_portfolio,f_mbr_stars_vs_portfolio,f_genre_vs_member
R00695264,0,2,11,0,0,1,25,11,9,1987.0,13.0,1,0,263.0,106.0,0.410839,3.193916,1.0,263.0,0,216.0,137.0,0.631495,3.740741,209.0,0,41.0,0.490203,1.142192,0.762189,0.3,0.000926,0.576096,0.566582,0.587782,-0.170891,0.049765,-0.405122,0.079364
R00695265,0,2,11,0,0,1,25,11,9,1980.0,20.0,1,0,263.0,106.0,0.410839,3.193916,1.0,263.0,0,719.0,509.0,0.705856,3.901252,209.0,0,122.0,0.372991,1.142192,0.997904,0.3,0.000926,0.576096,0.566582,0.587782,-0.170891,0.124126,-0.405122,-0.037848
R00695266,0,2,11,0,0,1,25,17,0,1996.0,4.0,3,1,488.0,306.0,0.625962,3.752049,0.0,488.0,0,169.0,53.0,0.331385,2.95858,209.0,0,169.0,0.568954,1.403303,1.142793,0.5,0.000243,0.583566,0.566582,0.603908,0.044232,-0.250344,0.153011,-0.057007
R00695267,0,2,11,0,0,1,25,17,0,1990.0,10.0,3,1,488.0,306.0,0.625962,3.752049,0.0,488.0,0,263.0,80.0,0.316294,2.874525,209.0,0,169.0,0.568954,1.403303,1.097628,0.5,0.000243,0.583566,0.566582,0.603908,0.044232,-0.265436,0.153011,-0.057007
R00695268,0,2,11,0,0,1,35,17,9,1982.0,18.0,1,0,144.0,49.0,0.358851,2.958333,1.0,144.0,0,137.0,14.0,0.14081,1.992701,209.0,0,90.0,0.333145,1.235331,1.090746,0.1,0.00037,0.583566,0.595411,0.587782,-0.222879,-0.440919,-0.640705,-0.025706
R00695269,0,2,11,0,0,1,35,17,9,1987.0,13.0,1,0,144.0,49.0,0.358851,2.958333,1.0,144.0,0,34.0,3.0,0.216973,2.029412,209.0,0,90.0,0.333145,1.235331,1.014173,0.1,0.00037,0.583566,0.595411,0.587782,-0.222879,-0.364757,-0.640705,-0.025706
R00695270,0,2,11,0,0,1,35,17,9,1983.0,17.0,2,1,144.0,49.0,0.358851,2.958333,1.0,144.0,0,175.0,42.0,0.261929,2.788571,209.0,0,90.0,0.333145,1.235331,1.077503,0.1,0.00037,0.583566,0.595411,0.587782,-0.222879,-0.319801,-0.640705,-0.025706
R00695271,0,2,11,0,0,1,35,17,9,1982.0,18.0,2,1,144.0,49.0,0.358851,2.958333,1.0,144.0,0,205.0,25.0,0.147377,2.478049,209.0,0,90.0,0.333145,1.235331,0.934831,0.1,0.00037,0.583566,0.595411,0.587782,-0.222879,-0.434353,-0.640705,-0.025706
R00695272,0,2,11,0,0,1,35,17,9,1986.0,14.0,3,1,144.0,49.0,0.358851,2.958333,1.0,144.0,0,44.0,9.0,0.285371,2.386364,168.0,0,15.0,0.517806,1.235331,1.228745,0.1,0.00037,0.583566,0.595411,0.587782,-0.222879,-0.296359,-0.640705,0.158955
R00695273,0,2,11,0,0,1,35,15,2,1997.0,3.0,2,1,115.0,50.0,0.448667,3.4,0.0,115.0,0,60.0,36.0,0.596955,3.533333,203.0,0,8.0,0.599038,0.821452,0.991071,0.3,0.004931,0.615716,0.595411,0.582548,-0.133062,0.015225,-0.199038,0.15037
R00695274,0,2,11,0,0,1,25,17,0,1999.0,1.0,3,1,490.0,306.0,0.623468,3.742857,0.0,490.0,0,633.0,74.0,0.125552,2.113744,209.0,0,171.0,0.562736,1.40814,1.084,0.5,0.000116,0.583566,0.566582,0.603908,0.041738,-0.456178,0.143819,-0.060731
R00695275,0,2,11,0,0,1,1,10,4,1989.0,11.0,3,1,40.0,12.0,0.365015,2.9,0.0,40.0,0,791.0,652.0,0.820649,4.204804,209.0,0,17.0,0.447612,1.019804,0.76327,0.25,0.000289,0.56441,0.574904,0.567586,-0.216715,0.238919,-0.699038,0.082598
R00695276,0,2,11,0,0,1,18,4,9,1996.0,4.0,2,1,837.0,432.0,0.517056,3.505376,1.0,837.0,0,316.0,151.0,0.481649,3.357595,209.0,0,189.0,0.552143,1.061561,1.032068,0.25,0.000706,0.575766,0.564425,0.587782,-0.064674,-0.100081,-0.093662,0.035087
R00695277,0,2,11,0,0,1,18,4,9,1998.0,2.0,3,1,837.0,432.0,0.517056,3.505376,1.0,837.0,0,673.0,387.0,0.575154,3.564636,209.0,0,189.0,0.552143,1.061561,0.960929,0.25,0.000706,0.575766,0.564425,0.587782,-0.064674,-0.006575,-0.093662,0.035087
R00695278,0,2,11,0,0,1,18,4,9,1984.0,16.0,2,1,837.0,432.0,0.517056,3.505376,1.0,837.0,0,781.0,467.0,0.597706,3.678617,209.0,0,189.0,0.552143,1.061561,1.018606,0.25,0.000706,0.575766,0.564425,0.587782,-0.064674,0.015976,-0.093662,0.035087
R00695279,0,2,11,0,0,1,18,4,9,1988.0,12.0,1,0,837.0,432.0,0.517056,3.505376,1.0,837.0,0,131.0,59.0,0.461404,3.381679,209.0,0,58.0,0.571154,1.061561,1.014837,0.25,0.000706,0.575766,0.564425,0.587782,-0.064674,-0.120326,-0.093662,0.054097
R00695280,0,2,11,0,0,1,18,19,9,1960.0,40.0,2,1,41.0,30.0,0.69775,4.0,0.0,41.0,0,928.0,757.0,0.812745,4.211207,209.0,0,4.0,0.686297,0.855399,0.890929,0.65,0.00081,0.535934,0.564425,0.587782,0.11602,0.231016,0.400962,-0.011453
R00695281,0,2,11,0,0,1,18,19,9,1963.0,37.0,1,0,41.0,30.0,0.69775,4.0,0.0,41.0,0,539.0,362.0,0.669657,3.851577,209.0,0,4.0,0.686297,0.855399,0.925946,0.65,0.00081,0.535934,0.564425,0.587782,0.11602,0.087927,0.400962,-0.011453
R00695282,0,2,11,0,0,1,18,19,9,1975.0,25.0,2,1,41.0,30.0,0.69775,4.0,0.0,41.0,0,1286.0,947.0,0.734962,4.070762,210.0,0,14.0,0.653106,0.855399,0.954062,0.65,0.00081,0.535934,0.564425,0.587782,0.11602,0.153232,0.400962,-0.044644
R00695283,0,2,11,0,0,1,25,12,9,1995.0,5.0,3,1,98.0,22.0,0.263461,2.693878,0.0,98.0,0,693.0,481.0,0.692171,3.886003,209.0,0,36.0,0.312099,1.172892,0.921128,0.2,0.000556,0.609999,0.566582,0.587782,-0.318268,0.110442,-0.905161,0.048638
