flight_id,tail_number,departed_at,risk_score,watch
F00213753,N941WN,2024-02-05 06:00:00,0.00313,0
F00213754,N942AT,2024-02-05 06:00:00,0.000215,0
F00213755,N944AN,2024-02-05 06:00:00,0.000148,0
F00213756,N945AT,2024-02-05 06:00:00,0.000319,0
F00213757,N947DZ,2024-02-05 06:00:00,0.000473,0
F00213758,N947NN,2024-02-05 06:00:00,0.001997,0
F00213759,N948AT,2024-02-05 06:00:00,0.000219,0
F00213760,N949AT,2024-02-05 06:00:00,0.000328,0
F00213761,N950DZ,2024-02-05 06:00:00,7.5e-05,0
F00213762,N953AN,2024-02-05 06:00:00,2.1e-05,0
F00213763,N956SW,2024-02-05 06:00:00,0.144619,1
F00213764,N960AT,2024-02-05 06:00:00,2.5e-05,0
F00213765,N960DZ,2024-02-05 06:00:00,0.000306,0
F00213766,N963AN,2024-02-05 06:00:00,0.001249,0
F00213767,N966AT,2024-02-05 06:00:00,0.000187,0
F00213768,N971AT,2024-02-05 06:00:00,0.002775,0
F00213769,N973NN,2024-02-05 06:00:00,6.8e-05,0
F00213770,N976NN,2024-02-05 06:00:00,0.000325,0
F00213771,N978NN,2024-02-05 06:00:00,1.1e-05,0
F00213772,N979AT,2024-02-05 06:00:00,2.1e-05,0
F00213773,N981NN,2024-02-05 06:00:00,7e-06,0
F00213774,N982NN,2024-02-05 06:00:00,0.000122,0
F00213775,N991AU,2024-02-05 06:00:00,0.000252,0
F00213776,N992AT,2024-02-05 06:00:00,0.000229,0
F00213777,N586UW,2024-02-05 06:03:00,2.4e-05,0
F00213778,N740UW,2024-02-05 06:03:00,6e-05,0
F00213779,N894NN,2024-02-05 06:03:00,2.6e-05,0
F00213780,N113SY,2024-02-05 06:05:00,0.00218,0
F00213781,N118DU,2024-02-05 06:05:00,0.000454,0
F00213782,N129DU,2024-02-05 06:05:00,4e-05,0
F00213783,N202WN,2024-02-05 06:05:00,0.000135,0
F00213784,N256SY,2024-02-05 06:05:00,0.003342,0
F00213785,N305DU,2024-02-05 06:05:00,0.00012,0
F00213786,N393DN,2024-02-05 06:05:00,0.000655,0
F00213787,N426WN,2024-02-05 06:05:00,0.003595,0
F00213788,N470WN,2024-02-05 06:05:00,0.001969,0
F00213789,N516DA,2024-02-05 06:05:00,0.053365,0
F00213790,N596NW,2024-02-05 06:05:00,0.000305,0
F00213791,N8329B,2024-02-05 06:05:00,0.001961,0
F00213792,N834DN,2024-02-05 06:05:00,3.7e-05,0
F00213793,N840SK,2024-02-05 06:05:00,0.002066,0
F00213794,N848NN,2024-02-05 06:05:00,2e-05,0
F00213795,N8556Z,2024-02-05 06:05:00,0.000258,0
F00213796,N8562Z,2024-02-05 06:05:00,0.0001,0
F00213797,N8751R,2024-02-05 06:05:00,0.000336,0
F00213798,N8792Q,2024-02-05 06:05:00,0.000653,0
F00213799,N8801Q,2024-02-05 06:05:00,0.000295,0
F00213800,N8809L,2024-02-05 06:05:00,0.00014,0
F00213801,N899DN,2024-02-05 06:05:00,0.000271,0
F00213802,N926DZ,2024-02-05 06:05:00,0.000203,0
F00213803,N934AT,2024-02-05 06:05:00,0.000288,0
F00213804,N509SY,2024-02-05 06:07:00,0.000231,0
F00213805,N753EV,2024-02-05 06:07:00,0.001575,0
F00213806,N310DU,2024-02-05 06:08:00,3.5e-05,0
F00213807,N347NW,2024-02-05 06:08:00,0.000409,0
F00213808,N116AN,2024-02-05 06:09:00,0.000102,0
F00213809,N161PQ,2024-02-05 06:09:00,5.6e-05,0
F00213810,N964NN,2024-02-05 06:09:00,0.000772,0
F00213811,N213SY,2024-02-05 06:10:00,0.00027,0
F00213812,N333NB,2024-02-05 06:10:00,0.000198,0
F00213813,N365NB,2024-02-05 06:10:00,0.000383,0
F00213814,N390DN,2024-02-05 06:10:00,0.000317,0
F00213815,N407WN,2024-02-05 06:10:00,0.003541,0
F00213816,N485WN,2024-02-05 06:10:00,0.024693,0
F00213817,N6703D,2024-02-05 06:10:00,0.000288,0
F00213818,N730US,2024-02-05 06:10:00,0.000246,0
F00213819,N762SW,2024-02-05 06:10:00,0.108102,1
F00213820,N767SW,2024-02-05 06:10:00,0.000612,0
F00213821,N7751A,2024-02-05 06:10:00,0.000237,0
F00213822,N776DE,2024-02-05 06:10:00,0.000361,0
F00213823,N7821L,2024-02-05 06:10:00,2.7e-05,0
F00213824,N803DN,2024-02-05 06:10:00,0.001369,0
F00213825,N817DN,2024-02-05 06:10:00,0.000167,0
F00213826,N830AW,2024-02-05 06:10:00,0.000886,0
F00213827,N855DN,2024-02-05 06:10:00,0.000136,0
F00213828,N8583Z,2024-02-05 06:10:00,0.000123,0
F00213829,N858NN,2024-02-05 06:10:00,2.3e-05,0
F00213830,N8624J,2024-02-05 06:10:00,2.4e-05,0
F00213831,N876AS,2024-02-05 06:10:00,0.678287,1
F00213832,N8793Q,2024-02-05 06:10:00,2e-05,0
F00213833,N8794Q,2024-02-05 06:10:00,0.245351,1
F00213834,N944AT,2024-02-05 06:10:00,5.8e-05,0
F00213835,N948WN,2024-02-05 06:10:00,0.000473,0
F00213836,N778XF,2024-02-05 06:11:00,0.000887,0
F00213837,N971NN,2024-02-05 06:11:00,1.7e-05,0
F00213838,N129AA,2024-02-05 06:13:00,6.9e-05,0
F00213839,N702SK,2024-02-05 06:13:00,0.000245,0
F00213840,N903NN,2024-02-05 06:13:00,0.001987,0
F00213841,N115DN,2024-02-05 06:15:00,0.00024,0
F00213842,N118DY,2024-02-05 06:15:00,0.000421,0
F00213843,N128DU,2024-02-05 06:15:00,3.5e-05,0
F00213844,N133DU,2024-02-05 06:15:00,0.001062,0
F00213845,N150UW,2024-02-05 06:15:00,0.000623,0
F00213846,N181UW,2024-02-05 06:15:00,4.1e-05,0
F00213847,N250WN,2024-02-05 06:15:00,0.262577,1
F00213848,N314DU,2024-02-05 06:15:00,0.000385,0
F00213849,N349NW,2024-02-05 06:15:00,0.351138,1
F00213850,N406WN,2024-02-05 06:15:00,0.000252,0
F00213851,N468WN,2024-02-05 06:15:00,0.000601,0
F00213852,N576UW,2024-02-05 06:15:00,0.000487,0
F00213853,N588NW,2024-02-05 06:15:00,0.000231,0
F00213854,N710EV,2024-02-05 06:15:00,0.000304,0
F00213855,N745SK,2024-02-05 06:15:00,0.00116,0
F00213856,N826NN,2024-02-05 06:15:00,0.000194,0
F00213857,N833NN,2024-02-05 06:15:00,0.000543,0
F00213858,N840AW,2024-02-05 06:15:00,0.001265,0
F00213859,N8536Z,2024-02-05 06:15:00,0.001145,0
F00213860,N8549Z,2024-02-05 06:15:00,0.001717,0
F00213861,N8577Z,2024-02-05 06:15:00,0.000207,0
F00213862,N8643A,2024-02-05 06:15:00,0.002154,0
F00213863,N8722L,2024-02-05 06:15:00,0.027995,0
F00213864,N8739L,2024-02-05 06:15:00,0.00016,0
F00213865,N8740A,2024-02-05 06:15:00,0.025625,0
F00213866,N8743K,2024-02-05 06:15:00,0.000176,0
F00213867,N8747Q,2024-02-05 06:15:00,6.9e-05,0
F00213868,N8866H,2024-02-05 06:15:00,0.002719,0
F00213869,N8911Q,2024-02-05 06:15:00,0.000526,0
F00213870,N891NN,2024-02-05 06:15:00,0.000239,0
F00213871,N921US,2024-02-05 06:15:00,0.000157,0
F00213872,N929DZ,2024-02-05 06:15:00,0.00025,0
F00213873,N937AT,2024-02-05 06:15:00,0.000233,0
F00213874,N995AN,2024-02-05 06:15:00,0.00027,0
F00213875,N614QX,2024-02-05 06:16:00,0.000165,0
F00213876,N9016,2024-02-05 06:16:00,0.654483,1
F00213877,N793SK,2024-02-05 06:18:00,0.162617,1
F00213878,N125AA,2024-02-05 06:20:00,0.000434,0
F00213879,N147AA,2024-02-05 06:20:00,6e-06,0
F00213880,N362DN,2024-02-05 06:20:00,0.000384,0
F00213881,N435WN,2024-02-05 06:20:00,9.2e-05,0
F00213882,N454WN,2024-02-05 06:20:00,5e-05,0
F00213883,N474WN,2024-02-05 06:20:00,0.001687,0
F00213884,N490WN,2024-02-05 06:20:00,0.056657,0
F00213885,N524DE,2024-02-05 06:20:00,0.000295,0
F00213886,N569WN,2024-02-05 06:20:00,0.126864,1
F00213887,N584NW,2024-02-05 06:20:00,0.000218,0
F00213888,N613CZ,2024-02-05 06:20:00,0.001069,0
F00213889,N771SK,2024-02-05 06:20:00,0.036483,0
F00213890,N7744A,2024-02-05 06:20:00,0.002221,0
F00213891,N802NN,2024-02-05 06:20:00,0.000427,0
F00213892,N823DN,2024-02-05 06:20:00,0.000236,0
F00213893,N8504G,2024-02-05 06:20:00,1.2e-05,0
F00213894,N8530W,2024-02-05 06:20:00,0.000525,0
F00213895,N8580Z,2024-02-05 06:20:00,0.002616,0
F00213896,N8630B,2024-02-05 06:20:00,4.8e-05,0
F00213897,N8690A,2024-02-05 06:20:00,0.003092,0
F00213898,N8737L,2024-02-05 06:20:00,0.000281,0
F00213899,N8765Q,2024-02-05 06:20:00,0.000331,0
F00213900,N8796L,2024-02-05 06:20:00,0.000342,0
F00213901,N8906K,2024-02-05 06:20:00,0.000153,0
F00213902,N900DU,2024-02-05 06:20:00,0.0002,0
F00213903,N918NN,2024-02-05 06:20:00,0.000395,0
F00213904,N929AA,2024-02-05 06:20:00,0.0002,0
F00213905,N933AN,2024-02-05 06:20:00,3.2e-05,0
F00213906,N945NN,2024-02-05 06:20:00,8.6e-05,0
F00213907,N997AA,2024-02-05 06:20:00,0.000258,0
F00213908,N153SY,2024-02-05 06:21:00,0.000308,0
F00213909,N413AN,2024-02-05 06:22:00,0.000325,0
F00213910,N958NN,2024-02-05 06:22:00,0.000215,0
F00213911,N587UW,2024-02-05 06:23:00,9.8e-05,0
F00213912,N440AN,2024-02-05 06:24:00,1.2e-05,0
F00213913,N157AA,2024-02-05 06:25:00,1e-05,0
