line_id,order_id,sku,placed_at,risk_score,hold
L00414543,530003,22666,2010-11-01 09:14:00,0.045958,0
L00414544,530003,22065,2010-11-01 09:14:00,0.030291,0
L00414545,530003,21948,2010-11-01 09:14:00,0.016132,0
L00414546,530003,21832,2010-11-01 09:14:00,0.034377,0
L00414547,530003,21876,2010-11-01 09:14:00,0.026153,0
L00414548,530003,85014a,2010-11-01 09:14:00,0.022485,0
L00414549,530003,DOT,2010-11-01 09:14:00,0.474422,1
L00414550,530003,20681,2010-11-01 09:14:00,0.078728,0
L00414551,530003,20749,2010-11-01 09:14:00,0.02507,0
L00414552,530003,20871,2010-11-01 09:14:00,0.024751,0
L00414553,530003,20979,2010-11-01 09:14:00,0.075207,0
L00414554,530003,85048,2010-11-01 09:14:00,0.075689,0
L00414555,530003,21125,2010-11-01 09:14:00,0.016505,0
L00414556,530003,21155,2010-11-01 09:14:00,0.01881,0
L00414557,530003,21174,2010-11-01 09:14:00,0.017666,0
L00414558,530003,21311,2010-11-01 09:14:00,0.019123,0
L00414559,530003,21089,2010-11-01 09:14:00,0.023246,0
L00414560,530003,21358,2010-11-01 09:14:00,0.017528,0
L00414561,530003,21430,2010-11-01 09:14:00,0.023586,0
L00414573,530008,M,2010-11-01 09:33:00,0.036861,0
L00414622,530014,22635,2010-11-01 10:37:00,0.025582,0
L00414623,530014,22618,2010-11-01 10:37:00,0.164118,1
L00414624,530014,72814,2010-11-01 10:37:00,0.00714,0
L00414625,530014,22086,2010-11-01 10:37:00,0.016988,0
L00414626,530014,22910,2010-11-01 10:37:00,0.014899,0
L00414627,530014,22940,2010-11-01 10:37:00,0.048595,0
L00414628,530014,22580,2010-11-01 10:37:00,0.048371,0
L00414629,530014,22910,2010-11-01 10:37:00,0.013319,0
L00414630,530014,22952,2010-11-01 10:37:00,0.00973,0
L00414631,530014,22158,2010-11-01 10:37:00,0.014146,0
L00414632,530014,84032A,2010-11-01 10:37:00,0.010201,0
L00414633,530014,22865,2010-11-01 10:37:00,0.011654,0
L00414634,530014,20871,2010-11-01 10:37:00,0.009415,0
L00414635,530014,22867,2010-11-01 10:37:00,0.008643,0
L00414636,530014,22636,2010-11-01 10:37:00,0.01809,0
L00414637,530014,20675,2010-11-01 10:37:00,0.016516,0
L00414638,530014,22758,2010-11-01 10:37:00,0.016677,0
L00414639,530014,22755,2010-11-01 10:37:00,0.009285,0
L00414640,530014,22748,2010-11-01 10:37:00,0.050592,0
L00414641,530014,22747,2010-11-01 10:37:00,0.020652,0
L00414642,530014,22746,2010-11-01 10:37:00,0.007653,0
L00414643,530014,22968,2010-11-01 10:37:00,0.020962,0
L00414644,530014,20676,2010-11-01 10:37:00,0.015892,0
L00414645,530014,20674,2010-11-01 10:37:00,0.012191,0
L00414646,530014,20677,2010-11-01 10:37:00,0.006566,0
L00414647,530014,84378,2010-11-01 10:37:00,0.007972,0
L00414648,530014,22968,2010-11-01 10:37:00,0.020962,0
L00414649,530014,22502,2010-11-01 10:37:00,0.029153,0
L00414650,530014,22634,2010-11-01 10:37:00,0.026561,0
L00414651,530014,21645,2010-11-01 10:37:00,0.005938,0
L00414652,530014,21645,2010-11-01 10:37:00,0.005938,0
L00414653,530014,20712,2010-11-01 10:37:00,0.007148,0
L00414654,530014,21033,2010-11-01 10:37:00,0.005678,0
L00414655,530014,22175,2010-11-01 10:37:00,0.007913,0
L00414656,530014,22382,2010-11-01 10:37:00,0.009157,0
L00414657,530014,20725,2010-11-01 10:37:00,0.019963,0
L00414658,530014,22384,2010-11-01 10:37:00,0.017234,0
L00414659,530014,20681,2010-11-01 10:37:00,0.030102,0
L00414660,530014,22176,2010-11-01 10:37:00,0.006044,0
L00414661,530014,20682,2010-11-01 10:37:00,0.008391,0
L00414662,530014,22502,2010-11-01 10:37:00,0.029657,0
L00414663,530014,21240,2010-11-01 10:37:00,0.008957,0
L00414664,530014,21238,2010-11-01 10:37:00,0.010767,0
L00414665,530014,21239,2010-11-01 10:37:00,0.009945,0
L00414666,530014,21481,2010-11-01 10:37:00,0.007762,0
L00414667,530014,22138,2010-11-01 10:37:00,0.276401,1
L00414668,530014,21499,2010-11-01 10:37:00,0.005653,0
L00414669,530014,21500,2010-11-01 10:37:00,0.005496,0
L00414670,530014,22654,2010-11-01 10:37:00,0.038421,0
L00414671,530014,22385,2010-11-01 10:37:00,0.011361,0
L00414672,530014,84997D,2010-11-01 10:37:00,0.006908,0
L00414673,530014,21912,2010-11-01 10:37:00,0.008751,0
L00414674,530014,21931,2010-11-01 10:37:00,0.013506,0
L00414675,530014,22411,2010-11-01 10:37:00,0.011981,0
L00414676,530014,21033,2010-11-01 10:37:00,0.005678,0
L00414677,530014,22549,2010-11-01 10:37:00,0.006252,0
L00414678,530014,21791,2010-11-01 10:37:00,0.007634,0
L00414679,530014,21929,2010-11-01 10:37:00,0.009333,0
L00414680,530014,21242,2010-11-01 10:37:00,0.006756,0
L00414681,530014,21243,2010-11-01 10:37:00,0.005555,0
L00414682,530014,21244,2010-11-01 10:37:00,0.014904,0
L00414683,530014,84997B,2010-11-01 10:37:00,0.006313,0
L00414684,530014,84997C,2010-11-01 10:37:00,0.012213,0
L00414685,530014,21245,2010-11-01 10:37:00,0.011247,0
L00414686,530014,84997A,2010-11-01 10:37:00,0.005921,0
L00414687,530015,16161U,2010-11-01 10:42:00,0.010805,0
L00414688,530015,21291,2010-11-01 10:42:00,0.018007,0
L00414689,530015,21914,2010-11-01 10:42:00,0.008882,0
L00414690,530015,22623,2010-11-01 10:42:00,0.010022,0
L00414691,530015,84006,2010-11-01 10:42:00,0.006726,0
L00414692,530015,84012,2010-11-01 10:42:00,0.006936,0
L00414693,530015,22752,2010-11-01 10:42:00,0.184,1
L00414694,530015,21790,2010-11-01 10:42:00,0.010199,0
L00414695,530015,22274,2010-11-01 10:42:00,0.008186,0
L00414696,530015,22622,2010-11-01 10:42:00,0.007029,0
L00414697,530015,21587,2010-11-01 10:42:00,0.008309,0
L00414698,530015,22745,2010-11-01 10:42:00,0.007815,0
L00414699,530015,21823,2010-11-01 10:42:00,0.009673,0
L00414700,530015,21825,2010-11-01 10:42:00,0.011576,0
L00414701,530015,21824,2010-11-01 10:42:00,0.006525,0
L00414702,530015,22759,2010-11-01 10:42:00,0.007367,0
L00414703,530015,22418,2010-11-01 10:42:00,0.025189,0
L00414704,530015,22747,2010-11-01 10:42:00,0.020762,0
L00414705,530015,22748,2010-11-01 10:42:00,0.050552,0
L00414706,530015,22746,2010-11-01 10:42:00,0.007694,0
L00414707,530015,22272,2010-11-01 10:42:00,0.005911,0
L00414708,530015,21533,2010-11-01 10:42:00,0.011294,0
L00414709,530015,22813,2010-11-01 10:42:00,0.007502,0
L00414710,530015,21531,2010-11-01 10:42:00,0.007752,0
L00414711,530015,21527,2010-11-01 10:42:00,0.094955,1
L00414712,530015,21539,2010-11-01 10:42:00,0.026624,0
L00414713,530015,85199L,2010-11-01 10:42:00,0.006236,0
L00414714,530015,85199S,2010-11-01 10:42:00,0.00593,0
L00414715,530015,22571,2010-11-01 10:42:00,0.010973,0
L00414716,530015,22946,2010-11-01 10:42:00,0.009295,0
L00414717,530015,22733,2010-11-01 10:42:00,0.007372,0
L00414718,530015,22942,2010-11-01 10:42:00,0.052838,0
L00414719,530015,22941,2010-11-01 10:42:00,0.118515,1
L00414720,530015,22943,2010-11-01 10:42:00,0.074319,0
L00414721,530015,21822,2010-11-01 10:42:00,0.043376,0
L00414722,530015,21819,2010-11-01 10:42:00,0.006459,0
L00414723,530015,21535,2010-11-01 10:42:00,0.018506,0
L00414724,530015,21817,2010-11-01 10:42:00,0.006969,0
L00414725,530015,84879,2010-11-01 10:42:00,0.00913,0
L00414726,530015,85123A,2010-11-01 10:42:00,0.036681,0
L00414727,530015,22906,2010-11-01 10:42:00,0.007463,0
L00414728,530015,22300,2010-11-01 10:42:00,0.012155,0
L00414729,530015,22301,2010-11-01 10:42:00,0.012479,0
L00414730,530015,22585,2010-11-01 10:42:00,0.010519,0
L00414731,530015,21786,2010-11-01 10:42:00,0.007511,0
L00414732,530015,21787,2010-11-01 10:42:00,0.005858,0
L00414733,530015,21843,2010-11-01 10:42:00,0.030498,0
L00414734,530015,21818,2010-11-01 10:42:00,0.006511,0
L00414735,530016,22897,2010-11-01 10:44:00,0.018174,0
L00414736,530016,22898,2010-11-01 10:44:00,0.015021,0
L00414737,530016,22730,2010-11-01 10:44:00,0.012316,0
L00414738,530016,22727,2010-11-01 10:44:00,0.014069,0
L00414739,530016,22729,2010-11-01 10:44:00,0.012879,0
L00414740,530016,22725,2010-11-01 10:44:00,0.01353,0
L00414741,530016,22726,2010-11-01 10:44:00,0.016753,0
L00414758,530020,21166,2010-11-01 10:52:00,0.013984,0
L00414759,530020,21755,2010-11-01 10:52:00,0.018895,0
L00414760,530020,85152,2010-11-01 10:52:00,0.014483,0
L00414761,530020,35400,2010-11-01 10:52:00,0.103334,1
L00414762,530020,22296,2010-11-01 10:52:00,0.013245,0
L00414763,530020,21754,2010-11-01 10:52:00,0.028247,0
L00414764,530020,21181,2010-11-01 10:52:00,0.016823,0
L00414765,530020,82483,2010-11-01 10:52:00,0.170414,1
L00414766,530020,22117,2010-11-01 10:52:00,0.010232,0
L00414767,530020,21165,2010-11-01 10:52:00,0.020056,0
L00414768,530020,82600,2010-11-01 10:52:00,0.013911,0
L00414769,530020,84792,2010-11-01 10:52:00,0.022573,0
L00414770,530020,22173,2010-11-01 10:52:00,0.011795,0
L00414771,530020,21166,2010-11-01 10:52:00,0.014174,0
L00414779,530059,22470,2010-11-01 11:32:00,0.038373,0
L00414780,530059,85099B,2010-11-01 11:32:00,0.044646,0
L00414781,530059,21931,2010-11-01 11:32:00,0.038358,0
L00414782,530059,22569,2010-11-01 11:32:00,0.020863,0
L00414783,530059,22837,2010-11-01 11:32:00,0.020129,0
L00414784,530059,22570,2010-11-01 11:32:00,0.023993,0
L00414785,530059,21484,2010-11-01 11:32:00,0.02626,0
L00414786,530059,22110,2010-11-01 11:32:00,0.016972,0
L00414787,530059,20970,2010-11-01 11:32:00,0.01624,0
L00414788,530059,35400,2010-11-01 11:32:00,0.158838,1
L00414789,530059,22113,2010-11-01 11:32:00,0.020855,0
L00414790,530059,22867,2010-11-01 11:32:00,0.025436,0
L00414791,530059,22865,2010-11-01 11:32:00,0.034093,0
L00414792,530059,20984,2010-11-01 11:32:00,0.019048,0
L00414793,530059,20983,2010-11-01 11:32:00,0.016402,0
L00414794,530059,20975,2010-11-01 11:32:00,0.017469,0
L00414795,530059,20974,2010-11-01 11:32:00,0.019199,0
L00414796,530059,20982,2010-11-01 11:32:00,0.068015,0
L00414797,530059,20725,2010-11-01 11:32:00,0.055606,0
L00414798,530059,22111,2010-11-01 11:32:00,0.036806,0
L00414799,530059,22112,2010-11-01 11:32:00,0.03272,0
L00414800,530059,84347,2010-11-01 11:32:00,0.074792,0
L00414801,530060,20754,2010-11-01 11:35:00,0.012958,0
L00414802,530060,20758,2010-11-01 11:35:00,0.010007,0
L00414803,530060,20966,2010-11-01 11:35:00,0.009087,0
L00414804,530060,20914,2010-11-01 11:35:00,0.019943,0
L00414805,530060,20735,2010-11-01 11:35:00,0.01022,0
L00414806,530060,20831,2010-11-01 11:35:00,0.011945,0
L00414807,530060,20733,2010-11-01 11:35:00,0.010591,0
L00414808,530060,20719,2010-11-01 11:35:00,0.020922,0
L00414809,530060,20726,2010-11-01 11:35:00,0.015687,0
L00414810,530060,20725,2010-11-01 11:35:00,0.031035,0
L00414811,530060,20724,2010-11-01 11:35:00,0.016154,0
L00414812,530060,20977,2010-11-01 11:35:00,0.009076,0
L00414813,530060,20676,2010-11-01 11:35:00,0.024475,0
L00414814,530060,20661,2010-11-01 11:35:00,0.018356,0
L00414815,530060,18007,2010-11-01 11:35:00,0.022789,0
L00414816,530060,17012B,2010-11-01 11:35:00,0.011318,0
L00414817,530060,20727,2010-11-01 11:35:00,0.016824,0
L00414818,530060,20978,2010-11-01 11:35:00,0.009212,0
L00414819,530060,84923,2010-11-01 11:35:00,0.010795,0
L00414820,530060,22726,2010-11-01 11:35:00,0.020704,0
L00414821,530060,16237,2010-11-01 11:35:00,0.011618,0
L00414822,530060,22712,2010-11-01 11:35:00,0.009999,0
L00414823,530060,22699,2010-11-01 11:35:00,0.039537,0
L00414824,530060,22698,2010-11-01 11:35:00,0.10995,1
L00414825,530060,22697,2010-11-01 11:35:00,0.041082,0
L00414826,530060,22695,2010-11-01 11:35:00,0.011589,0
L00414827,530060,22692,2010-11-01 11:35:00,0.009247,0
L00414828,530060,22470,2010-11-01 11:35:00,0.021426,0
L00414829,530060,22662,2010-11-01 11:35:00,0.012831,0
L00414830,530060,84970S,2010-11-01 11:35:00,0.010614,0
L00414831,530060,84970L,2010-11-01 11:35:00,0.009757,0
L00414832,530060,84969,2010-11-01 11:35:00,0.008898,0
L00414833,530060,84950,2010-11-01 11:35:00,0.027126,0
L00414834,530060,84946,2010-11-01 11:35:00,0.018174,0
L00414835,530060,84877B,2010-11-01 11:35:00,0.038806,0
L00414836,530060,21012,2010-11-01 11:35:00,0.009996,0
L00414837,530060,21002,2010-11-01 11:35:00,0.00929,0
L00414838,530060,21001,2010-11-01 11:35:00,0.010773,0
L00414839,530060,15060B,2010-11-01 11:35:00,0.40017,1
L00414840,530060,79144C,2010-11-01 11:35:00,0.012908,0
L00414841,530060,11001,2010-11-01 11:35:00,0.022251,0
L00414842,530060,72807C,2010-11-01 11:35:00,0.016739,0
L00414843,530060,72801G,2010-11-01 11:35:00,0.010715,0
L00414844,530060,72051S,2010-11-01 11:35:00,0.011777,0
L00414845,530060,71477,2010-11-01 11:35:00,0.051665,0
L00414846,530060,48188,2010-11-01 11:35:00,0.010416,0
L00414847,530060,47563A,2010-11-01 11:35:00,0.01143,0
L00414848,530060,47367B,2010-11-01 11:35:00,0.01133,0
L00414849,530060,35969,2010-11-01 11:35:00,0.01063,0
L00414850,530060,35968,2010-11-01 11:35:00,0.021135,0
L00414851,530060,35967,2010-11-01 11:35:00,0.012135,0
L00414852,530060,35964,2010-11-01 11:35:00,0.012311,0
L00414853,530060,35957,2010-11-01 11:35:00,0.016775,0
L00414854,530060,35954,2010-11-01 11:35:00,0.011436,0
L00414855,530060,35400,2010-11-01 11:35:00,0.089917,1
L00414856,530060,22952,2010-11-01 11:35:00,0.014854,0
L00414857,530060,22951,2010-11-01 11:35:00,0.011321,0
L00414858,530060,22947,2010-11-01 11:35:00,0.075288,0
L00414859,530060,72816,2010-11-01 11:35:00,0.011232,0
L00414860,530060,72817,2010-11-01 11:35:00,0.01138,0
L00414861,530060,22734,2010-11-01 11:35:00,0.010993,0
L00414862,530060,79160,2010-11-01 11:35:00,0.019869,0
L00414863,530060,10133,2010-11-01 11:35:00,0.010306,0
L00414864,530060,84832,2010-11-01 11:35:00,0.009084,0
L00414865,530060,84659A,2010-11-01 11:35:00,0.014858,0
L00414866,530060,84534B,2010-11-01 11:35:00,0.022575,0
L00414867,530060,84380,2010-11-01 11:35:00,0.012305,0
L00414868,530060,84378,2010-11-01 11:35:00,0.012301,0
L00414869,530060,84347,2010-11-01 11:35:00,0.035909,0
L00414870,530060,84199,2010-11-01 11:35:00,0.021859,0
L00414871,530060,15056N,2010-11-01 11:35:00,0.011487,0
L00414872,530060,84086C,2010-11-01 11:35:00,0.011541,0
L00414873,530060,84032A,2010-11-01 11:35:00,0.015666,0
L00414874,530060,84030E,2010-11-01 11:35:00,0.009355,0
L00414875,530060,84029E,2010-11-01 11:35:00,0.011785,0
L00414876,530060,82613D,2010-11-01 11:35:00,0.009328,0
L00414877,530060,82580,2010-11-01 11:35:00,0.02312,0
L00414878,530060,82578,2010-11-01 11:35:00,0.008752,0
L00414879,530060,82494L,2010-11-01 11:35:00,0.017362,0
L00414880,530060,82484,2010-11-01 11:35:00,0.015645,0
L00414881,530060,84077,2010-11-01 11:35:00,0.017489,0
L00414882,530060,22739,2010-11-01 11:35:00,0.014271,0
L00414883,530060,22867,2010-11-01 11:35:00,0.013415,0
L00414884,530060,22745,2010-11-01 11:35:00,0.011992,0
L00414885,530060,90118,2010-11-01 11:35:00,0.015421,0
L00414886,530060,90104,2010-11-01 11:35:00,0.013511,0
L00414887,530060,90098,2010-11-01 11:35:00,0.011813,0
L00414888,530060,90019A,2010-11-01 11:35:00,0.011056,0
L00414889,530060,90013A,2010-11-01 11:35:00,0.011346,0
L00414890,530060,90005A,2010-11-01 11:35:00,0.010971,0
L00414891,530060,85231G,2010-11-01 11:35:00,0.009142,0
L00414892,530060,85231B,2010-11-01 11:35:00,0.009297,0
L00414893,530060,85227,2010-11-01 11:35:00,0.015559,0
L00414894,530060,85184C,2010-11-01 11:35:00,0.00933,0
L00414895,530060,85152,2010-11-01 11:35:00,0.013157,0
L00414896,530060,85049E,2010-11-01 11:35:00,0.010732,0
L00414897,530060,79190D,2010-11-01 11:35:00,0.01142,0
L00414898,530060,22661,2010-11-01 11:35:00,0.013885,0
L00414899,530060,22654,2010-11-01 11:35:00,0.057796,0
L00414900,530060,22652,2010-11-01 11:35:00,0.024561,0
L00414901,530060,22651,2010-11-01 11:35:00,0.011676,0
L00414902,530060,90161C,2010-11-01 11:35:00,0.011271,0
L00414903,530060,22637,2010-11-01 11:35:00,0.01817,0
L00414904,530060,90181A,2010-11-01 11:35:00,0.012563,0
L00414905,530060,90201B,2010-11-01 11:35:00,0.012116,0
L00414906,530060,22938,2010-11-01 11:35:00,0.011534,0
L00414907,530060,22694,2010-11-01 11:35:00,0.014155,0
L00414908,530060,22777,2010-11-01 11:35:00,0.05554,0
L00414909,530060,22776,2010-11-01 11:35:00,0.121265,1
L00414910,530060,85136C,2010-11-01 11:35:00,0.033586,0
L00414911,530060,85135B,2010-11-01 11:35:00,0.017057,0
L00414912,530060,85132C,2010-11-01 11:35:00,0.016877,0
L00414913,530060,85131D,2010-11-01 11:35:00,0.011244,0
L00414914,530060,85131B,2010-11-01 11:35:00,0.01153,0
L00414915,530060,85131A,2010-11-01 11:35:00,0.010121,0
L00414916,530060,85130D,2010-11-01 11:35:00,0.011384,0
L00414917,530060,85129D,2010-11-01 11:35:00,0.010415,0
L00414918,530060,85124C,2010-11-01 11:35:00,0.029742,0
L00414919,530060,85084,2010-11-01 11:35:00,0.010903,0
L00414920,530060,85068,2010-11-01 11:35:00,0.015807,0
L00414921,530060,90214S,2010-11-01 11:35:00,0.01119,0
L00414922,530060,90209B,2010-11-01 11:35:00,0.011711,0
L00414923,530060,90187B,2010-11-01 11:35:00,0.013879,0
L00414924,530060,22632,2010-11-01 11:35:00,0.02421,0
L00414925,530060,22625,2010-11-01 11:35:00,0.012446,0
L00414926,530060,22621,2010-11-01 11:35:00,0.009842,0
L00414927,530060,22848,2010-11-01 11:35:00,0.010442,0
L00414928,530060,22846,2010-11-01 11:35:00,0.016094,0
L00414929,530060,22830,2010-11-01 11:35:00,0.009145,0
L00414930,530060,22816,2010-11-01 11:35:00,0.022615,0
L00414931,530060,22805,2010-11-01 11:35:00,0.013474,0
L00414932,530060,22800,2010-11-01 11:35:00,0.012357,0
L00414933,530060,22798,2010-11-01 11:35:00,0.037816,0
L00414934,530060,22795,2010-11-01 11:35:00,0.183681,1
L00414935,530060,22792,2010-11-01 11:35:00,0.01264,0
L00414936,530060,22773,2010-11-01 11:35:00,0.036369,0
L00414937,530060,22772,2010-11-01 11:35:00,0.027996,0
L00414938,530060,22771,2010-11-01 11:35:00,0.012324,0
L00414939,530060,22765,2010-11-01 11:35:00,0.009863,0
L00414940,530060,22762,2010-11-01 11:35:00,0.033812,0
L00414941,530060,22758,2010-11-01 11:35:00,0.025604,0
L00414942,530060,22748,2010-11-01 11:35:00,0.075857,0
L00414943,530060,22746,2010-11-01 11:35:00,0.01181,0
L00414944,530060,22853,2010-11-01 11:35:00,0.014008,0
L00414945,530060,22865,2010-11-01 11:35:00,0.018091,0
L00414946,530060,22892,2010-11-01 11:35:00,0.094406,1
L00414947,530060,22909,2010-11-01 11:35:00,0.018175,0
L00414948,530060,22620,2010-11-01 11:35:00,0.061256,0
L00414949,530060,22610,2010-11-01 11:35:00,0.019221,0
L00414950,530060,22595,2010-11-01 11:35:00,0.010598,0
L00414951,530060,22594,2010-11-01 11:35:00,0.010209,0
L00414952,530060,22593,2010-11-01 11:35:00,0.01019,0
L00414953,530060,DOT,2010-11-01 11:35:00,0.218807,1
L00414954,530060,DCGSSGIRL,2010-11-01 11:35:00,0.013985,0
L00414955,530060,DCGSSBOY,2010-11-01 11:35:00,0.014092,0
L00414956,530060,22740,2010-11-01 11:35:00,0.010945,0
L00414957,530060,85150,2010-11-01 11:35:00,0.011327,0
L00414958,530060,85039B,2010-11-01 11:35:00,0.010536,0
L00414959,530060,85039A,2010-11-01 11:35:00,0.477359,1
L00414960,530060,85026B,2010-11-01 11:35:00,0.029972,0
L00414961,530060,85017A,2010-11-01 11:35:00,0.009207,0
L00414962,530060,84993A,2010-11-01 11:35:00,0.009781,0
L00414963,530060,84992,2010-11-01 11:35:00,0.010881,0
L00414964,530060,84991,2010-11-01 11:35:00,0.012546,0
L00414965,530060,22910,2010-11-01 11:35:00,0.020351,0
L00414966,530060,85039C,2010-11-01 11:35:00,0.011829,0
L00414967,530060,22588,2010-11-01 11:35:00,0.010691,0
L00414968,530060,22689,2010-11-01 11:35:00,0.009832,0
L00414969,530060,22576,2010-11-01 11:35:00,0.010967,0
L00414970,530060,22029,2010-11-01 11:35:00,0.010361,0
L00414971,530060,21718,2010-11-01 11:35:00,0.011596,0
L00414972,530060,21716,2010-11-01 11:35:00,0.008687,0
L00414973,530060,21715,2010-11-01 11:35:00,0.010967,0
L00414974,530060,21703,2010-11-01 11:35:00,0.011223,0
L00414975,530060,21656,2010-11-01 11:35:00,0.010774,0
L00414976,530060,21650,2010-11-01 11:35:00,0.020359,0
L00414977,530060,21637,2010-11-01 11:35:00,0.010265,0
L00414978,530060,21634,2010-11-01 11:35:00,0.011204,0
L00414979,530060,21539,2010-11-01 11:35:00,0.039463,0
