line_id,f_hour,f_dow,f_month,f_week,f_is_weekend,f_days_since_epoch,f_basket_lines,f_basket_units,f_basket_value,f_line_share,f_sku_age_days,f_sku_is_new,f_sku_orders,f_sku_units,f_sku_mean_price,f_account_tenure_days,f_account_known,f_acct_orders,f_acct_units,f_rate_sku,f_rate_market,f_sku_price_dispersion,f_seasonal,f_sku_velocity,f_sku_price_range,f_peak_month,f_in_peak_month,f_basket_distinct_skus,f_basket_max_line_share,f_basket_mean_line_value,f_price_vs_sku_mean,f_price_vs_market_mean,f_sku_days_since_trade,f_account_days_since_order,f_acct_prior_returns,f_sku_prior_returns,f_acct_return_rate,f_sku_trade_days,f_account_order_gap,f_segment
L00414419,8,0,11,44,0,0,14,163.0,347.2,0.194412,335.0,0,196.0,1517.0,8.072449,89.0,1,87.0,1000.0,0.002257,0.022891,1.752949,0.020073,4.151404,12.4,8.0,0,14.0,0.194412,24.8,0.836177,1.632854,0.0,29.0,3.0,0.0,0.032594,134.0,90.0,0
L00414420,8,0,11,44,0,0,14,163.0,347.2,0.09159,334.0,0,210.0,1420.0,7.825524,89.0,1,87.0,1000.0,0.015163,0.022891,1.075051,0.020073,3.900843,12.98,8.0,0,14.0,0.194412,24.8,1.015906,1.92314,0.0,29.0,3.0,3.0,0.032594,143.0,90.0,0
L00414421,8,0,11,44,0,0,14,163.0,347.2,0.137385,334.0,0,153.0,1239.0,7.791242,89.0,1,87.0,1000.0,0.014379,0.022891,1.233238,0.020073,3.472881,14.43,8.0,0,14.0,0.194412,24.8,1.020376,1.92314,2.0,29.0,3.0,2.0,0.032594,119.0,90.0,0
L00414422,8,0,11,44,0,0,14,163.0,347.2,0.088134,241.0,0,146.0,1479.0,2.617534,89.0,1,87.0,1000.0,0.111371,0.022891,0.267667,0.020073,5.477692,5.06,8.0,0,14.0,0.194412,24.8,0.974199,0.616856,0.0,29.0,3.0,18.0,0.032594,80.0,90.0,0
L00414423,8,0,11,44,0,0,20,56.0,65.42,0.12993,164.0,0,97.0,258.0,8.722784,-1.0,0,0.0,0.0,0.046902,0.022891,0.571993,0.020073,1.250279,12.3,8.0,0,18.0,0.228523,3.271,0.97446,2.056187,4.0,-1.0,0.0,5.0,0.024377,72.0,92.509733,0
L00414424,8,0,11,44,0,0,20,56.0,65.42,0.017426,333.0,0,17.0,106.0,0.835882,-1.0,0,0.0,0.0,0.040204,0.022891,0.643599,0.020073,0.275595,3.05,8.0,0,18.0,0.228523,3.271,0.454609,0.091924,19.0,-1.0,0.0,1.0,0.024377,15.0,92.509733,0
L00414425,8,0,11,44,0,0,20,56.0,65.42,0.019107,331.0,0,16.0,90.0,1.25,-1.0,0,0.0,0.0,0.013543,0.022891,0.0,0.020073,0.215727,0.0,8.0,0,18.0,0.228523,3.271,1.0,0.30238,13.0,-1.0,0.0,0.0,0.024377,16.0,92.509733,0
L00414426,8,0,11,44,0,0,20,56.0,65.42,0.077958,235.0,0,63.0,517.0,2.680794,-1.0,0,0.0,0.0,0.02997,0.022891,0.302121,0.020073,1.376863,2.96,8.0,0,18.0,0.228523,3.271,0.951211,0.616856,0.0,-1.0,0.0,2.0,0.024377,50.0,92.509733,0
L00414427,8,0,11,44,0,0,20,56.0,65.42,0.03852,329.0,0,25.0,399.0,0.3584,-1.0,0,0.0,0.0,0.010834,0.022891,0.096032,0.020073,0.992899,0.43,8.0,0,18.0,0.228523,3.271,1.171875,0.1016,13.0,-1.0,0.0,0.0,0.024377,17.0,92.509733,0
L00414428,8,0,11,44,0,0,20,56.0,65.42,0.03852,334.0,0,15.0,420.0,0.346,-1.0,0,0.0,0.0,0.01393,0.022891,0.108533,0.020073,1.067826,0.42,8.0,0,18.0,0.228523,3.271,1.213873,0.1016,11.0,-1.0,0.0,0.0,0.024377,14.0,92.509733,0
L00414429,8,0,11,44,0,0,20,56.0,65.42,0.029807,45.0,0,64.0,708.0,2.081875,-1.0,0,0.0,0.0,0.005804,0.022891,0.266016,0.020073,8.524242,2.56,8.0,0,18.0,0.228523,3.271,0.936656,0.471714,0.0,-1.0,0.0,0.0,0.024377,38.0,92.509733,0
L00414430,8,0,11,44,0,0,20,56.0,65.42,0.077041,45.0,0,58.0,931.0,0.49569,-1.0,0,0.0,0.0,0.031891,0.022891,0.127348,0.020073,12.373134,0.64,8.0,0,18.0,0.228523,3.271,0.847304,0.1016,0.0,-1.0,0.0,2.0,0.024377,37.0,92.509733,0
L00414431,8,0,11,44,0,0,20,56.0,65.42,0.029807,334.0,0,188.0,2340.0,2.330798,-1.0,0,0.0,0.0,0.011959,0.022891,0.660686,0.020073,6.392676,3.41,8.0,0,18.0,0.228523,3.271,0.836623,0.471714,0.0,-1.0,0.0,2.0,0.024377,135.0,92.509733,0
L00414432,8,0,11,44,0,0,20,56.0,65.42,0.029807,104.0,0,60.0,695.0,2.099833,-1.0,0,0.0,0.0,0.006094,0.022891,0.309689,0.020073,5.48374,3.41,8.0,0,18.0,0.228523,3.271,0.928645,0.471714,0.0,-1.0,0.0,0.0,0.024377,49.0,92.509733,0
L00414433,8,0,11,44,0,0,20,56.0,65.42,0.064965,333.0,0,51.0,141.0,4.911961,-1.0,0,0.0,0.0,0.006867,0.022891,1.116248,0.020073,0.39621,4.22,8.0,0,18.0,0.228523,3.271,0.865235,1.028094,12.0,-1.0,0.0,0.0,0.024377,44.0,92.509733,0
L00414434,8,0,11,44,0,0,20,56.0,65.42,0.228523,17.0,0,19.0,32.0,14.834211,-1.0,0,0.0,0.0,0.063783,0.022891,0.219391,0.020073,0.510526,2.2,8.0,0,18.0,0.228523,3.271,1.007806,3.61647,1.0,-1.0,0.0,2.0,0.024377,16.0,92.509733,0
L00414435,8,0,11,44,0,0,20,56.0,65.42,0.075665,132.0,0,19.0,125.0,1.92,-1.0,0,0.0,0.0,0.012501,0.022891,0.454737,0.020073,0.617808,1.71,8.0,0,18.0,0.228523,3.271,0.859375,0.399142,6.0,-1.0,0.0,0.0,0.024377,17.0,92.509733,0
L00414436,8,0,11,44,0,0,20,56.0,65.42,0.025222,335.0,0,160.0,1091.0,2.054625,-1.0,0,0.0,0.0,0.002709,0.022891,0.627053,0.020073,2.904775,1.98,8.0,0,18.0,0.228523,3.271,0.803066,0.399142,0.0,-1.0,0.0,0.0,0.024377,107.0,92.509733,0
L00414437,8,0,11,44,0,0,20,56.0,65.42,0.029807,334.0,0,99.0,969.0,2.119899,-1.0,0,0.0,0.0,0.029307,0.022891,0.348703,0.020073,2.335362,2.65,8.0,0,18.0,0.228523,3.271,0.919855,0.471714,11.0,-1.0,0.0,3.0,0.024377,52.0,92.509733,0
L00414438,8,0,11,44,0,0,20,56.0,65.42,0.029807,231.0,0,130.0,1335.0,2.299846,-1.0,0,0.0,0.0,0.04325,0.022891,0.575915,0.020073,5.022619,3.3,8.0,0,18.0,0.228523,3.271,0.847883,0.471714,1.0,-1.0,0.0,6.0,0.024377,85.0,92.509733,0
L00414439,8,0,11,44,0,0,20,56.0,65.42,0.012993,321.0,0,34.0,199.0,0.970294,-1.0,0,0.0,0.0,0.009028,0.022891,0.205208,0.020073,0.599381,0.85,8.0,0,18.0,0.228523,3.271,0.876023,0.205619,16.0,-1.0,0.0,0.0,0.024377,25.0,92.509733,0
L00414440,8,0,11,44,0,0,20,56.0,65.42,0.0,329.0,0,25.0,399.0,0.3584,-1.0,0,0.0,0.0,0.010834,0.022891,0.096032,0.020073,0.992899,0.43,8.0,0,18.0,0.228523,3.271,0.0,0.0,13.0,-1.0,0.0,0.0,0.024377,17.0,92.509733,0
L00414441,8,0,11,44,0,0,20,56.0,65.42,0.0,334.0,0,15.0,420.0,0.346,-1.0,0,0.0,0.0,0.01393,0.022891,0.108533,0.020073,1.067826,0.42,8.0,0,18.0,0.228523,3.271,0.0,0.0,11.0,-1.0,0.0,0.0,0.024377,14.0,92.509733,0
L00414442,8,0,11,44,0,0,20,56.0,65.42,0.045093,114.0,0,188.0,790.0,3.285745,-1.0,0,0.0,0.0,0.035998,0.022891,0.614187,0.020073,5.577941,3.36,8.0,0,18.0,0.228523,3.271,0.897818,0.713618,0.0,-1.0,0.0,7.0,0.024377,92.0,92.509733,0
L00414443,8,0,11,44,0,0,5,71.0,71.55,0.247379,334.0,0,379.0,3075.0,3.081768,0.0,1,16.0,164.0,0.016259,0.022891,0.411345,0.020073,8.233427,5.48,11.0,1,5.0,0.249476,14.31,0.957243,0.713618,0.0,9.0,1.0,6.0,0.04132,195.0,20.0,0
L00414444,8,0,11,44,0,0,5,71.0,71.55,0.146751,334.0,0,79.0,2622.0,0.416962,0.0,1,16.0,164.0,0.004925,0.022891,0.005845,0.020073,7.17971,0.08,11.0,1,5.0,0.249476,14.31,1.007286,0.1016,6.0,9.0,1.0,0.0,0.04132,64.0,20.0,0
L00414445,8,0,11,44,0,0,5,71.0,71.55,0.249476,170.0,0,96.0,373.0,6.674375,0.0,1,16.0,164.0,0.021444,0.022891,1.298906,0.020073,1.754737,6.42,11.0,1,5.0,0.249476,14.31,0.891469,1.439331,2.0,9.0,1.0,2.0,0.04132,61.0,20.0,0
L00414446,8,0,11,44,0,0,5,71.0,71.55,0.209644,334.0,0,42.0,1371.0,1.599048,0.0,1,16.0,164.0,0.023993,0.022891,0.526259,0.020073,3.950437,1.51,11.0,1,5.0,0.249476,14.31,0.781715,0.30238,13.0,9.0,1.0,1.0,0.04132,38.0,20.0,0
L00414447,8,0,11,44,0,0,5,71.0,71.55,0.146751,55.0,0,44.0,1450.0,0.418182,0.0,1,16.0,164.0,0.007618,0.022891,0.003554,0.020073,21.287879,0.08,11.0,1,5.0,0.249476,14.31,1.004348,0.1016,11.0,9.0,1.0,0.0,0.04132,27.0,20.0,0
L00414448,9,0,11,44,0,0,1,1.0,1435.29,1.0,334.0,0,191.0,983.0,456.56199,-1.0,0,0.0,0.0,0.021268,0.023216,679.893825,0.020073,2.589802,25111.09,8.0,0,1.0,1.0,1435.29,3.143691,1.0,0.0,-1.0,0.0,4.0,0.024377,107.0,92.509733,2
L00414488,9,0,11,44,0,0,37,46.0,393.65,0.040975,334.0,0,106.0,305.0,9.622736,-1.0,0,0.0,0.0,0.027679,0.022891,2.707732,0.020073,0.821972,9.53,8.0,0,37.0,0.208078,10.639189,1.676238,3.901917,0.0,-1.0,0.0,3.0,0.024377,88.0,92.509733,0
L00414490,9,0,11,44,0,0,37,46.0,393.65,0.005411,149.0,0,10.0,48.0,2.13,-1.0,0,0.0,0.0,0.016251,0.022891,0.0,0.020073,0.31087,0.0,8.0,0,37.0,0.208078,10.639189,1.0,0.515256,29.0,-1.0,0.0,0.0,0.024377,8.0,92.509733,0
L00414491,9,0,11,44,0,0,37,46.0,393.65,0.010695,334.0,0,202.0,1612.0,2.545594,-1.0,0,0.0,0.0,0.011205,0.022891,0.729543,0.020073,4.30339,2.61,8.0,0,37.0,0.208078,10.639189,1.653838,1.018417,0.0,-1.0,0.0,2.0,0.024377,129.0,92.509733,0
L00414492,9,0,11,44,0,0,37,46.0,393.65,0.021517,334.0,0,17.0,26.0,8.512353,-1.0,0,0.0,0.0,0.013177,0.022891,0.064775,0.020073,0.046732,0.18,8.0,0,37.0,0.208078,10.639189,0.995025,2.04893,29.0,-1.0,0.0,0.0,0.024377,12.0,92.509733,0
L00414493,9,0,11,44,0,0,37,46.0,393.65,0.010695,334.0,0,8.0,14.0,4.22125,-1.0,0,0.0,0.0,0.017412,0.022891,0.019687,0.020073,0.025836,0.09,8.0,0,37.0,0.208078,10.639189,0.997335,1.018417,6.0,-1.0,0.0,0.0,0.024377,7.0,92.509733,0
L00414494,9,0,11,44,0,0,37,46.0,393.65,0.036657,334.0,0,268.0,1812.0,8.124515,-1.0,0,0.0,0.0,0.005165,0.022891,1.549045,0.020073,5.011517,10.43,8.0,0,37.0,0.208078,10.639189,1.776106,3.49068,0.0,-1.0,0.0,1.0,0.024377,176.0,92.509733,0
L00414496,9,0,11,44,0,0,37,46.0,393.65,0.043135,87.0,0,114.0,515.0,9.042895,-1.0,0,0.0,0.0,0.137967,0.022891,1.11398,0.020073,4.341667,9.33,8.0,0,37.0,0.208078,10.639189,1.877717,4.107536,0.0,-1.0,0.0,18.0,0.024377,62.0,92.509733,0
L00414497,9,0,11,44,0,0,37,46.0,393.65,0.002159,279.0,0,1.0,1.0,0.85,-1.0,0,0.0,0.0,0.023216,0.022891,0.0,0.020073,2.089954,0.0,8.0,0,37.0,0.208078,10.639189,1.0,0.205619,29.0,-1.0,0.0,0.0,0.024377,1.0,92.509733,0
L00414498,9,0,11,44,0,0,37,46.0,393.65,0.030027,116.0,0,95.0,525.0,3.631263,-1.0,0,0.0,0.0,0.012935,0.022891,1.055415,0.020073,3.447445,3.36,8.0,0,37.0,0.208078,10.639189,1.627533,1.429655,0.0,-1.0,0.0,1.0,0.024377,64.0,92.509733,0
L00414499,9,0,11,44,0,0,37,46.0,393.65,0.006376,122.0,0,151.0,1505.0,2.163775,-1.0,0,0.0,0.0,0.014547,0.022891,0.389646,0.020073,10.13007,3.3,8.0,0,37.0,0.208078,10.639189,1.16001,0.60718,1.0,-1.0,0.0,2.0,0.024377,87.0,92.509733,0
L00414500,9,0,11,44,0,0,37,46.0,393.65,0.043033,163.0,0,160.0,714.0,5.689125,-1.0,0,0.0,0.0,0.06382,0.022891,1.457875,0.020073,3.668681,4.72,8.0,0,37.0,0.208078,10.639189,1.488805,2.04893,1.0,-1.0,0.0,11.0,0.024377,94.0,92.509733,0
L00414501,9,0,11,44,0,0,37,46.0,393.65,0.021517,259.0,0,67.0,144.0,6.000149,-1.0,0,0.0,0.0,0.005604,0.022891,1.198619,0.020073,0.471174,8.47,8.0,0,37.0,0.208078,10.639189,1.411632,2.04893,0.0,-1.0,0.0,0.0,0.024377,58.0,92.509733,0
L00414502,9,0,11,44,0,0,37,46.0,393.65,0.036657,300.0,0,125.0,966.0,8.55184,-1.0,0,0.0,0.0,0.003362,0.022891,2.133373,0.020073,3.092182,14.43,8.0,0,37.0,0.208078,10.639189,1.687356,3.49068,5.0,-1.0,0.0,0.0,0.024377,99.0,92.509733,0
L00414503,9,0,11,44,0,0,37,46.0,393.65,0.004217,334.0,0,181.0,1259.0,1.087459,-1.0,0,0.0,0.0,0.012376,0.022891,0.338836,0.020073,3.290169,0.98,8.0,0,37.0,0.208078,10.639189,1.526495,0.401561,0.0,-1.0,0.0,2.0,0.024377,120.0,92.509733,0
L00414504,9,0,11,44,0,0,37,46.0,393.65,0.04504,334.0,0,176.0,880.0,3.543295,-1.0,0,0.0,0.0,0.007589,0.022891,0.998046,0.020073,2.406017,4.04,8.0,0,37.0,0.208078,10.639189,1.667939,1.429655,6.0,-1.0,0.0,1.0,0.024377,114.0,92.509733,0
L00414505,9,0,11,44,0,0,37,46.0,393.65,0.019357,334.0,0,129.0,532.0,4.423256,-1.0,0,0.0,0.0,0.056963,0.022891,1.24649,0.020073,1.378873,7.78,8.0,0,37.0,0.208078,10.639189,1.722713,1.843311,0.0,-1.0,0.0,8.0,0.024377,104.0,92.509733,0
L00414506,9,0,11,44,0,0,37,46.0,393.65,0.012752,231.0,0,130.0,1335.0,2.299846,-1.0,0,0.0,0.0,0.04325,0.022891,0.575915,0.020073,5.022619,3.3,8.0,0,37.0,0.208078,10.639189,1.091377,0.60718,1.0,-1.0,0.0,6.0,0.024377,85.0,92.509733,0
L00414507,9,0,11,44,0,0,37,46.0,393.65,0.021517,254.0,0,2.0,2.0,8.47,-1.0,0,0.0,0.0,0.022161,0.022891,0.0,0.020073,0.00625,0.0,8.0,0,37.0,0.208078,10.639189,1.0,2.04893,29.0,-1.0,0.0,0.0,0.024377,2.0,92.509733,0
L00414508,9,0,11,44,0,0,37,46.0,393.65,0.043135,335.0,0,159.0,614.0,10.437358,-1.0,0,0.0,0.0,0.097696,0.022891,2.5015,0.020073,1.567826,9.4,8.0,0,37.0,0.208078,10.639189,1.626848,4.107536,11.0,-1.0,0.0,17.0,0.024377,70.0,92.509733,0
L00414509,9,0,11,44,0,0,37,46.0,393.65,0.208078,334.0,0,231.0,730.0,141.09974,-1.0,0,0.0,0.0,0.268875,0.022891,103.344967,0.020073,2.061714,922.05,8.0,0,37.0,0.208078,10.639189,0.580511,19.814387,6.0,-1.0,0.0,67.0,0.024377,123.0,92.509733,0
L00414510,9,0,11,44,0,0,37,46.0,393.65,0.08627,335.0,0,98.0,575.0,8.760612,-1.0,0,0.0,0.0,0.063454,0.022891,1.867822,0.020073,1.325281,10.4,8.0,0,37.0,0.208078,10.639189,1.938221,4.107536,0.0,-1.0,0.0,7.0,0.024377,54.0,92.509733,0
L00414511,9,0,11,44,0,0,37,46.0,393.65,0.051416,335.0,0,86.0,1345.0,3.042093,-1.0,0,0.0,0.0,0.014033,0.022891,0.943678,0.020073,3.734561,3.07,8.0,0,37.0,0.208078,10.639189,1.663328,1.224036,0.0,-1.0,0.0,1.0,0.024377,67.0,92.509733,0
L00414512,9,0,11,44,0,0,37,46.0,393.65,0.019357,334.0,0,157.0,686.0,4.220892,-1.0,0,0.0,0.0,0.053602,0.022891,0.836982,0.020073,1.792978,4.39,8.0,0,37.0,0.208078,10.639189,1.805306,1.843311,0.0,-1.0,0.0,9.0,0.024377,110.0,92.509733,0
L00414513,9,0,11,44,0,0,37,46.0,393.65,0.021517,334.0,0,114.0,461.0,4.965965,-1.0,0,0.0,0.0,0.137967,0.022891,1.607805,0.020073,1.190778,5.26,8.0,0,37.0,0.208078,10.639189,1.70561,2.04893,4.0,-1.0,0.0,18.0,0.024377,82.0,92.509733,0
L00414514,9,0,11,44,0,0,37,46.0,393.65,0.012854,334.0,0,113.0,602.0,3.145575,-1.0,0,0.0,0.0,0.018703,0.022891,0.930433,0.020073,1.618258,3.07,8.0,0,37.0,0.208078,10.639189,1.608609,1.224036,0.0,-1.0,0.0,2.0,0.024377,79.0,92.509733,0
L00414515,9,0,11,44,0,0,37,46.0,393.65,0.015013,334.0,0,38.0,234.0,3.629474,-1.0,0,0.0,0.0,0.008406,0.022891,1.087091,0.020073,0.655233,4.04,8.0,0,37.0,0.208078,10.639189,1.628335,1.429655,12.0,-1.0,0.0,0.0,0.024377,34.0,92.509733,0
L00414516,9,0,11,44,0,0,37,46.0,393.65,0.021517,334.0,0,173.0,916.0,4.666705,-1.0,0,0.0,0.0,0.038796,0.022891,1.54931,0.020073,2.501136,5.4,8.0,0,37.0,0.208078,10.639189,1.814985,2.04893,4.0,-1.0,0.0,7.0,0.024377,127.0,92.509733,0
L00414517,9,0,11,44,0,0,37,46.0,393.65,0.008536,334.0,0,73.0,586.0,1.498767,-1.0,0,0.0,0.0,0.005242,0.022891,0.471878,0.020073,1.640909,3.05,8.0,0,37.0,0.208078,10.639189,2.241843,0.812799,1.0,-1.0,0.0,0.0,0.024377,58.0,92.509733,0
L00414519,9,0,11,44,0,0,37,46.0,393.65,0.010695,327.0,0,102.0,1504.0,1.992059,-1.0,0,0.0,0.0,0.012193,0.022891,0.610611,0.020073,4.253026,2.85,8.0,0,37.0,0.208078,10.639189,2.113391,1.018417,2.0,-1.0,0.0,1.0,0.024377,73.0,92.509733,0
L00414520,9,0,11,44,0,0,37,46.0,393.65,0.010695,334.0,0,266.0,3703.0,2.146692,-1.0,0,0.0,0.0,0.012194,0.022891,0.423604,0.020073,10.201408,4.3,8.0,0,37.0,0.208078,10.639189,1.961157,1.018417,0.0,-1.0,0.0,3.0,0.024377,156.0,92.509733,0
L00414521,9,0,11,44,0,0,37,46.0,393.65,0.010695,334.0,0,149.0,1146.0,2.558255,-1.0,0,0.0,0.0,0.008802,0.022891,0.78082,0.020073,3.254755,2.8,8.0,0,37.0,0.208078,10.639189,1.645653,1.018417,9.0,-1.0,0.0,1.0,0.024377,97.0,92.509733,0
L00414522,9,0,11,44,0,0,37,46.0,393.65,0.004217,334.0,0,150.0,3352.0,0.847733,-1.0,0,0.0,0.0,0.00875,0.022891,0.325973,0.020073,9.095506,1.17,8.0,0,37.0,0.208078,10.639189,1.958163,0.401561,0.0,-1.0,0.0,1.0,0.024377,114.0,92.509733,0
L00414523,9,0,11,44,0,0,37,46.0,393.65,0.015013,334.0,0,89.0,562.0,3.745056,-1.0,0,0.0,0.0,0.013647,0.022891,1.179296,0.020073,1.501404,3.49,8.0,0,37.0,0.208078,10.639189,1.57808,1.429655,0.0,-1.0,0.0,1.0,0.024377,65.0,92.509733,0
L00414524,9,0,11,44,0,0,37,46.0,393.65,0.015013,334.0,0,176.0,963.0,3.670852,-1.0,0,0.0,0.0,0.007589,0.022891,1.098561,0.020073,2.110423,3.49,8.0,0,37.0,0.208078,10.639189,1.60998,1.429655,0.0,-1.0,0.0,1.0,0.024377,119.0,92.509733,0
L00414525,9,0,11,44,0,0,37,46.0,393.65,0.010695,333.0,0,50.0,260.0,2.7432,-1.0,0,0.0,0.0,0.021251,0.022891,1.019024,0.020073,0.698851,3.05,8.0,0,37.0,0.208078,10.639189,1.534704,1.018417,6.0,-1.0,0.0,1.0,0.024377,40.0,92.509733,0
L00414526,9,0,11,44,0,0,37,46.0,393.65,0.012854,334.0,0,41.0,69.0,5.068049,-1.0,0,0.0,0.0,0.007992,0.022891,0.01492,0.020073,0.176292,0.11,8.0,0,37.0,0.208078,10.639189,0.998412,1.224036,6.0,-1.0,0.0,0.0,0.024377,27.0,92.509733,0
L00414527,9,0,11,44,0,0,37,46.0,393.65,0.010695,334.0,0,203.0,2342.0,2.311034,-1.0,0,0.0,0.0,0.006671,0.022891,0.64054,0.020073,6.412394,2.9,8.0,0,37.0,0.208078,10.639189,1.821695,1.018417,0.0,-1.0,0.0,1.0,0.024377,141.0,92.509733,0
L00414528,9,0,11,44,0,0,33,42.0,299.48,0.039635,334.0,0,115.0,362.0,6.436609,-1.0,0,0.0,0.0,0.003611,0.022891,0.949459,0.020073,0.876338,6.68,8.0,0,33.0,0.208461,9.075152,1.844139,2.871405,0.0,-1.0,0.0,0.0,0.024377,66.0,92.509733,0
L00414529,9,0,11,44,0,0,33,42.0,299.48,0.05386,334.0,0,31.0,58.0,13.772903,-1.0,0,0.0,0.0,0.00956,0.022891,3.542789,0.020073,0.147578,12.53,8.0,0,33.0,0.208461,9.075152,1.17114,3.901917,5.0,-1.0,0.0,0.0,0.024377,28.0,92.509733,0
L00414530,9,0,11,44,0,0,33,42.0,299.48,0.011219,335.0,0,160.0,1091.0,2.054625,-1.0,0,0.0,0.0,0.002709,0.022891,0.627053,0.020073,2.904775,1.98,8.0,0,33.0,0.208461,9.075152,1.635335,0.812799,0.0,-1.0,0.0,0.0,0.024377,107.0,92.509733,0
L00414531,9,0,11,44,0,0,33,42.0,299.48,0.016896,334.0,0,115.0,897.0,2.876696,-1.0,0,0.0,0.0,0.033241,0.022891,0.609441,0.020073,2.430286,3.07,8.0,0,33.0,0.208461,9.075152,1.758963,1.224036,6.0,-1.0,0.0,4.0,0.024377,95.0,92.509733,0
L00414532,9,0,11,44,0,0,33,42.0,299.48,0.019734,241.0,0,271.0,2028.0,3.357085,-1.0,0,0.0,0.0,0.032603,0.022891,0.723622,0.020073,7.196565,4.4,8.0,0,33.0,0.208461,9.075152,1.760456,1.429655,0.0,-1.0,0.0,9.0,0.024377,133.0,92.509733,0
L00414533,9,0,11,44,0,0,1,1.0,4.21,1.0,334.0,0,77.0,417.0,2.505325,-1.0,0,0.0,0.0,0.005026,0.022891,0.762064,0.020073,1.2003,4.3,8.0,0,1.0,1.0,4.21,1.680421,1.018417,22.0,-1.0,0.0,0.0,0.024377,68.0,92.509733,0
L00414534,9,0,11,44,0,0,33,42.0,299.48,0.008381,122.0,0,151.0,1505.0,2.163775,-1.0,0,0.0,0.0,0.014547,0.022891,0.389646,0.020073,10.13007,3.3,8.0,0,33.0,0.208461,9.075152,1.16001,0.60718,1.0,-1.0,0.0,2.0,0.024377,87.0,92.509733,0
