tail_number,operator,home_station
N502DX,DL,BOS
N502SY,OO,LAX
N503DZ,DL,SEA
N503SY,OO,LAX
N505DZ,DL,SEA
N506SY,OO,LAX
N507AY,AA,CLT
N507DN,DL,DTW
N507SY,OO,LAX
N508AY,AA,CLT
N508DN,DL,ATL
N508SY,OO,LAX
N509AY,AA,DFW
N509DT,DL,LAX
N509SY,OO,LAX
N510DE,DL,SEA
N510SY,OO,LAX
N511DN,DL,ATL
N512DN,DL,ATL
N513DA,DL,BOS
N513DZ,DL,ATL
N513SY,OO,LAX
N514DN,DL,ATL
N514SY,OO,LAX
N515DN,DL,ATL
N515SY,OO,LAX
N516DA,DL,JFK
N516DN,DL,ATL
N517DN,DL,BOS
N518DQ,DL,BOS
N518DZ,DL,ATL
N519SY,OO,LAX
N519UW,AA,CLT
N520DE,DL,JFK
N521DT,DL,JFK
N522DA,DL,SEA
N523DE,DL,SEA
N523UW,AA,CLT
N524DE,DL,JFK
N525DA,DL,JFK
N526DE,DL,LAX
N527DE,DL,JFK
N529DT,DL,BOS
N530DE,DL,JFK
N532DN,DL,SLC
N533DT,DL,LAX
N534DT,DL,JFK
N534UW,AA,CLT
N535DN,DL,BOS
N535US,DL,ATL
N535UW,AA,DFW
N536DN,DL,JFK
N537US,DL,ATL
N538DN,DL,SEA
N538US,DL,ATL
N539DN,DL,JFK
N540UW,AA,CLT
N541DE,DL,SEA
N542US,DL,ATL
N543DE,DL,SEA
N543US,DL,ATL
N544DN,DL,LAX
N544US,DL,ATL
N544UW,AA,CLT
N545DE,DL,JFK
N545UW,AA,CLT
N546DN,DL,LAX
N547US,DL,ATL
N548DN,DL,BOS
N548US,DL,ATL
N549CA,OO,SLC
N549DN,DL,JFK
N549UW,AA,CLT
N550WN,WN,BWI
N551NW,DL,ATL
N551UW,AA,CLT
N551WN,WN,DEN
N552NW,DL,ATL
N553NW,DL,ATL
N553UW,AA,CLT
N554CA,OO,DTW
N554NW,DL,ATL
N554UW,AA,CLT
N555LV,WN,DEN
N555NW,DL,ATL
N556NW,DL,ATL
N556UW,AA,CLT
N557NW,DL,ATL
N557UW,AA,CLT
N558WN,WN,HOU
N559UW,AA,CLT
N560UW,AA,CLT
N561UW,AA,CLT
N561WN,WN,DAL
N562UW,AA,CLT
N563UW,AA,CLT
N563WN,WN,DAL
N564WN,WN,BWI
N565WN,WN,DEN
N566WN,WN,DAL
N567UW,AA,CLT
N567WN,WN,DEN
N568UW,AA,CLT
N569WN,WN,DEN
N571DZ,DL,ATL
N572DZ,DL,ATL
N573DT,DL,SLC
N573DZ,DL,ATL
N574DZ,DL,ATL
N575DN,DL,JFK
N576DZ,DL,ATL
N576UW,AA,CLT
N578UW,AA,DFW
N579UW,AA,CLT
N582UW,AA,CLT
N583NW,DL,DTW
N583UW,AA,DFW
N584NW,DL,DTW
N584UW,AA,DFW
N585NW,DL,DTW
N585UW,AA,CLT
N586NW,DL,DTW
N586UW,AA,CLT
N587NW,DL,DTW
N587UW,AA,CLT
N588NW,DL,DTW
N589NW,DL,DTW
N593NW,DL,DTW
N594NW,DL,DTW
N596NW,DL,DTW
N601AW,AA,CLT
N601UX,OO,SFO
N602UX,OO,DEN
N603AT,DL,ATL
N603SK,OO,MSP
N603UX,OO,DEN
N604SK,OO,MSP
N605UX,OO,DEN
N606SK,OO,DFW
N607AT,DL,ATL
N607SK,OO,PHX
N608SK,OO,DFW
N608UX,OO,DEN
N609SK,OO,DFW
N609UX,OO,DEN
N611SK,OO,LAX
N611UX,OO,DEN
N612UX,OO,DEN
N613CZ,OO,SEA
N613SK,OO,PHX
N614QX,OO,PHX
N614UX,OO,DEN
N615UX,OO,DEN
N618UX,OO,DEN
N620UX,OO,DEN
N622UX,OO,DEN
N623UX,OO,DEN
N624UX,OO,DEN
N625CA,OO,MSP
N625UX,OO,DEN
N632SK,OO,PHX
N641CA,OO,MSP
N649AW,AA,DFW
N652AW,AA,CLT
N653AW,AA,DFW
N656AW,AA,CLT
N658CA,OO,PHX
N658DL,DL,ATL
N659DL,DL,ATL
N661AW,AA,CLT
N664AW,AA,CLT
N665AW,AA,DFW
N665DN,DL,ATL
N667DN,DL,ATL
N668AW,AA,DFW
N668DN,DL,ATL
N669DN,DL,ATL
N6701,DL,ATL
N6702,DL,ATL
N6703D,DL,ATL
N6704Z,DL,ATL
N6705Y,DL,ATL
N6706Q,DL,ATL
N6707A,DL,ATL
N6708D,DL,ATL
N670DN,DL,ATL
N6711M,DL,ATL
N6712B,DL,ATL
N6714Q,DL,ATL
N671DN,DL,ATL
N672DL,DL,ATL
N673DL,DL,ATL
N675DL,DL,ATL
N676DL,DL,ATL
N678DL,DL,ATL
N679AW,AA,DFW
N679CA,OO,ATL
N679DA,DL,ATL
N679SA,OO,ORD
N680AW,AA,CLT
N680DA,DL,ATL
N682DA,DL,ATL
N688DL,DL,ATL
N689CA,OO,ATL
N689DL,DL,ATL
N693CA,OO,ATL
N693DL,DL,ATL
N694DL,DL,ATL
N695DL,DL,ATL
N696DL,DL,ATL
N697DL,DL,ATL
N699BR,OO,ORD
N702SK,OO,DFW
N702TW,DL,LAX
N703SK,OO,ATL
N703UW,AA,CLT
N704US,AA,CLT
N704X,DL,JFK
N705SK,OO,PHX
N706SK,OO,DFW
N706TW,DL,LAX
N707EV,OO,PHX
N709SK,OO,DFW
N710EV,OO,PHX
N710UW,AA,MIA
N712TW,DL,ATL
N713EV,OO,DFW
N713SK,OO,PHX
N713UW,AA,DFW
N715UW,AA,DCA
N716EV,OO,DFW
N716SK,OO,DFW
N717AN,AA,MIA
N717EV,OO,DFW
N717UW,AA,CLT
N718EV,OO,DFW
N719EV,OO,PHX
N719SK,OO,DFW
N720AN,AA,JFK
N720EV,OO,PHX
N721TW,DL,ATL
N722AN,AA,MIA
N722US,AA,CLT
N723AN,AA,JFK
N723UW,AA,PHL
N724AN,AA,MIA
N724EV,OO,PHX
N724UW,AA,CLT
N725AN,AA,MIA
N725UW,AA,CLT
N726AN,AA,LAX
N727AN,AA,MIA
N727SK,OO,DFW
N727TW,DL,JFK
N728SK,OO,DFW
N729AN,AA,JFK
N730AN,AA,JFK
N730US,AA,MIA
N731AN,AA,MIA
N732SK,OO,DFW
N733UW,AA,CLT
N740EV,OO,PHX
N740UW,AA,MIA
N741EV,OO,MSP
N741UW,AA,CLT
N742PS,AA,DFW
N743SK,OO,ASE
N744P,AA,DCA
N744SK,OO,PHX
N745SK,OO,DFW
N746UW,AA,CLT
N748SK,OO,PHX
N750AN,AA,MIA
N750SK,OO,DFW
N750UW,AA,DCA
N751AN,AA,CLT
N751UW,AA,DFW
N752AN,AA,MIA
N753EV,OO,PHX
N753US,AA,CLT
N754AN,AA,MIA
N754SK,OO,PHX
N754UW,AA,DCA
N755AN,AA,MIA
N755US,AA,CLT
N756AM,AA,MIA
N756US,AA,CLT
N758AN,AA,CLT
N759AN,AA,MIA
N761AJ,AA,MIA
N762AN,AA,MIA
N762SK,OO,DFW
N762SW,WN,DEN
N763US,AA,PHL
N764SK,OO,DFW
N764US,AA,DFW
N765AN,AA,DFW
N765SK,OO,PHX
N765US,AA,DFW
N766AN,AA,MIA
N766SK,OO,PHX
N767AJ,AA,MIA
N767SK,OO,MSP
N767SW,WN,BWI
N768SK,OO,MSP
N768US,AA,DFW
N769SW,WN,DEN
N7704B,WN,DEN
N770AN,AA,DFW
N770SK,OO,PHX
N770UW,AA,CLT
N7713A,WN,DEN
N771SK,OO,PHX
N7720F,WN,DAL
N7721E,WN,DAL
N7722B,WN,DEN
N7723E,WN,BWI
N7724A,WN,DEN
N7725A,WN,DAL
N7726A,WN,LAS
N7729A,WN,MDW
N772AN,AA,DFW
N772SK,OO,PHX
N772XF,AA,DCA
N7730A,WN,DEN
N7731A,WN,DEN
N7732A,WN,PHX
N7733B,WN,DEN
N7734H,WN,BWI
N7735A,WN,DEN
N7738A,WN,DEN
N773AN,AA,MIA
N773SK,OO,DFW
N773XF,AA,PHL
N7740A,WN,DAL
N7741C,WN,DAL
N7743B,WN,HOU
N7744A,WN,DEN
N7747C,WN,DEN
N7748A,WN,DEN
N7749B,WN,DEN
N774AN,AA,MIA
N774SK,OO,PHX
N774XF,AA,PHX
N7750A,WN,HOU
N7751A,WN,DEN
N7752B,WN,DEN
N775AN,AA,MIA
N776DE,DL,SEA
N776XF,AA,LGA
N778AN,AA,MIA
N778SK,OO,ATL
N778XF,AA,DCA
N780AN,AA,JFK
N7812G,WN,DEN
N7815L,WN,HOU
N7819A,WN,DAL
N7821L,WN,DEN
N7822A,WN,DAL
N7823A,WN,DEN
N7826B,WN,DEN
N7828A,WN,BWI
N782AN,AA,DFW
N7832A,WN,DEN
N7838A,WN,DEN
N783AN,AA,MIA
N783SK,OO,ASE
N7840A,WN,DEN
N7842A,WN,DEN
N7844A,WN,DEN
N784SK,OO,ASE
N7851A,WN,DEN
N7852A,WN,DEN
N7853B,WN,LAS
N7854B,WN,HOU
N7859B,WN,DEN
N785AN,AA,MIA
N785SK,OO,ASE
N7860A,WN,DEN
N7862A,WN,DEN
N7863A,WN,BWI
N7864B,WN,DEN
N7866A,WN,BWI
N7867A,WN,DEN
N7868K,WN,DAL
N786AN,AA,MIA
N786SK,OO,ASE
N7873A,WN,DAL
N7874B,WN,PHX
N7875A,WN,DEN
N7877H,WN,DAL
N7879A,WN,DEN
N787AL,AA,LAX
N787SK,OO,ASE
N7880D,WN,DAL
N7881A,WN,DEN
N7882B,WN,DEN
N7883A,WN,DAL
N7884G,WN,DEN
N7885A,WN,DEN
N7887A,WN,BWI
N7888A,WN,DEN
N7889A,WN,DEN
N788AN,AA,MIA
N788SA,WN,BWI
N788SK,OO,ASE
N789SK,OO,ASE
N790AN,AA,MIA
N791AN,AA,JFK
N791SW,WN,DEN
N792AN,AA,MIA
N792SW,WN,DEN
N793AN,AA,MIA
N793SK,OO,ASE
N795AN,AA,MIA
N795SK,OO,DEN
N797SK,OO,ASE
N798AN,AA,MIA
N799AN,AA,DFW
N800SK,OO,ATL
N801AC,AA,DFW
N801AW,AA,CLT
N801NW,DL,DTW
N802AN,AA,DFW
N802AW,AA,PHX
N802NN,AA,DFW
N802NW,DL,ATL
N802SK,OO,ATL
N803AL,AA,DFW
N803AW,AA,DFW
N803DN,DL,ATL
N803NW,DL,ATL
N804AN,AA,DFW
N804AW,AA,CLT
N804DN,DL,ATL
N804NN,AA,DFW
N804NW,DL,ATL
N804SK,OO,DTW
N805AW,AA,DCA
N805NN,AA,DFW
N805NW,DL,HNL
N805SK,OO,ATL
N806AW,AA,CLT
N806NN,AA,DFW
N806NW,DL,ATL
N806SK,OO,DTW
N807AW,AA,DFW
N807NN,AA,DFW
N809AW,AA,CLT
N810AN,AA,DFW
N810DN,DL,ATL
N811AB,AA,DFW
N812AA,AA,DFW
N812AW,AA,DCA
N812DN,DL,MSP
N812NW,DL,HNL
N813DN,DL,ATL
N813NN,AA,DFW
N813NW,DL,ATL
N814AA,AA,DFW
N814AW,AA,PHX
N814NW,DL,DTW
N815AA,AA,DFW
N815DN,DL,ATL
N815NN,AA,DFW
N815NW,DL,ATL
N816AA,AA,DFW
N816AW,AA,DCA
N816DN,DL,ATL
N816NN,AA,DFW
N816NW,DL,DTW
N816SK,OO,SLC
N817AN,AA,MIA
N817AW,AA,CLT
N817DN,DL,ATL
N817NN,AA,MIA
N817NW,DL,HNL
N818AW,AA,CLT
N818DA,DL,ATL
