code,city,state
MFE,"Mission/McAllen/Edinburg, TX",TX
MFR,"Medford, OR",OR
MGM,"Montgomery, AL",AL
MHT,"Manchester, NH",NH
MIA,"Miami, FL",FL
MKE,"Milwaukee, WI",WI
MLB,"Melbourne, FL",FL
MLI,"Moline, IL",IL
MLU,"Monroe, LA",LA
MOB,"Mobile, AL",AL
MOT,"Minot, ND",ND
MRY,"Monterey, CA",CA
MSN,"Madison, WI",WI
MSO,"Missoula, MT",MT
MSP,"Minneapolis, MN",MN
MSY,"New Orleans, LA",LA
MTJ,"Montrose/Delta, CO",CO
MYR,"Myrtle Beach, SC",SC
OAJ,"Jacksonville/Camp Lejeune, NC",NC
OAK,"Oakland, CA",CA
OGG,"Kahului, HI",HI
OKC,"Oklahoma City, OK",OK
OMA,"Omaha, NE",NE
ONT,"Ontario, CA",CA
ORD,"Chicago, IL",IL
ORF,"Norfolk, VA",VA
OTH,"North Bend/Coos Bay, OR",OR
PBI,"West Palm Beach/Palm Beach, FL",FL
PDX,"Portland, OR",OR
PHL,"Philadelphia, PA",PA
PHX,"Phoenix, AZ",AZ
PIA,"Peoria, IL",IL
PIB,"Hattiesburg/Laurel, MS",MS
PIH,"Pocatello, ID",ID
PIT,"Pittsburgh, PA",PA
PLN,"Pellston, MI",MI
PNS,"Pensacola, FL",FL
PRC,"Prescott, AZ",AZ
PSC,"Pasco/Kennewick/Richland, WA",WA
PSP,"Palm Springs, CA",CA
PVD,"Providence, RI",RI
PWM,"Portland, ME",ME
RAP,"Rapid City, SD",SD
RDD,"Redding, CA",CA
RDM,"Bend/Redmond, OR",OR
RDU,"Raleigh/Durham, NC",NC
RHI,"Rhinelander, WI",WI
RIC,"Richmond, VA",VA
RIW,"Riverton/Lander, WY",WY
RKS,"Rock Springs, WY",WY
RNO,"Reno, NV",NV
ROA,"Roanoke, VA",VA
ROC,"Rochester, NY",NY
ROW,"Roswell, NM",NM
RST,"Rochester, MN",MN
RSW,"Fort Myers, FL",FL
SAF,"Santa Fe, NM",NM
SAN,"San Diego, CA",CA
SAT,"San Antonio, TX",TX
SAV,"Savannah, GA",GA
SBA,"Santa Barbara, CA",CA
SBN,"South Bend, IN",IN
SBP,"San Luis Obispo, CA",CA
SCE,"State College, PA",PA
SDF,"Louisville, KY",KY
SEA,"Seattle, WA",WA
SFO,"San Francisco, CA",CA
SGF,"Springfield, MO",MO
SGU,"St. George, UT",UT
SHR,"Sheridan, WY",WY
SHV,"Shreveport, LA",LA
SJC,"San Jose, CA",CA
SJT,"San Angelo, TX",TX
SJU,"San Juan, PR",PR
SLC,"Salt Lake City, UT",UT
SLN,"Salina, KS",KS
SMF,"Sacramento, CA",CA
SNA,"Santa Ana, CA",CA
SPS,"Wichita Falls, TX",TX
SRQ,"Sarasota/Bradenton, FL",FL
STL,"St. Louis, MO",MO
STS,"Santa Rosa, CA",CA
STT,"Charlotte Amalie, VI",VI
STX,"Christiansted, VI",VI
SUN,"Sun Valley/Hailey/Ketchum, ID",ID
SUX,"Sioux City, IA",IA
SWO,"Stillwater, OK",OK
SYR,"Syracuse, NY",NY
TLH,"Tallahassee, FL",FL
TPA,"Tampa, FL",FL
TRI,"Bristol/Johnson City/Kingsport, TN",TN
TUL,"Tulsa, OK",OK
TUS,"Tucson, AZ",AZ
TVC,"Traverse City, MI",MI
TWF,"Twin Falls, ID",ID
TXK,"Texarkana, AR",AR
TYR,"Tyler, TX",TX
TYS,"Knoxville, TN",TN
VCT,"Victoria, TX",TX
VEL,"Vernal, UT",UT
VLD,"Valdosta, GA",GA
VPS,"Valparaiso, FL",FL
XNA,"Fayetteville, AR",AR
XWA,"Williston, ND",ND
YUM,"Yuma, AZ",AZ
